"typeName"	"lovName"	"lovElementName"	"lovElementCode"	"rank"	"elementStartDate"	"elementEndDate"	"elementPublicationCode"	"elementDesc"
"Plant Phenology"	"phe.growthForm"	"Cactus"	"Cactus"	1	"2012-01-01"		"Cactus"	"Any member of the family Cactaceae; plants typically have succulent stems and branches with scales or spines instead of leaves"
"Plant Phenology"	"phe.growthForm"	"Deciduous broadleaf"	"DBL"	2	"2012-01-01"		"Deciduous broadleaf"	"Woody plants bearing flat leaves and dormant buds that are large enough to observe; leaves present during growing season then senesce and fall off during dormant periods (typically winter)"
"Plant Phenology"	"phe.growthForm"	"Deciduous conifer"	"DC"	3	"2012-01-01"		"Deciduous conifer"	"Cone bearing trees; needles last through a single growing season then senesce and fall off during dormant periods"
"Plant Phenology"	"phe.growthForm"	"Drought deciduous broadleaf"	"DDB"	4	"2012-01-01"		"Drought deciduous broadleaf"	"Dryland-adapted woody plants bearing flat leaves and dormant leaf buds that are too small to observe; leaves may be evergreen in most years or  may regularly senesce and drop during dry periods"
"Plant Phenology"	"phe.growthForm"	"Evergreen broadleaf"	"EB"	5	"2012-01-01"		"Evergreen broadleaf"	"Woody plants bearing flat leaves; leaves may persist for multiple growing seasons, no distinct dormant period"
"Plant Phenology"	"phe.growthForm"	"Evergreen conifer"	"EC"	6	"2012-01-01"		"Evergreen conifer"	"Cone bearing plants where needles spread apart during stem elongation (unlike members of the genus Pinus); needles persist for multiple growing seasons"
"Plant Phenology"	"phe.growthForm"	"Evergreen forb"	"EF"	7	"2012-01-01"		"Evergreen forb"	"Non-woody forbs with aboveground leaf or leaf-like structures that persist for multiple years"
"Plant Phenology"	"phe.growthForm"	"Forb"	"Forb"	8	"2012-01-01"		"Forb"	"Annual, biennial, and perennial herbaceous flowering plants and sub-shrubs with no aboveground woody structures; typically die back to the ground in dormant periods"
"Plant Phenology"	"phe.growthForm"	"Graminoid"	"GRS"	9	"2012-01-01"		"Graminoid"	"Grasses and grass-like plants; includes all members of the families Poaceae (true grasses), Cyperaceae (sedges), and Juncaceae (rushes)"
"Plant Phenology"	"phe.growthForm"	"Pine"	"Pine"	10	"2012-01-01"		"Pine"	"Cone bearing plants of the genus Pinus; needles, bundled in sets of 1-6, spread apart after stem (candle) elongation; needles persist for multiple growing seasons"
"Plant Phenology"	"phe.growthForm"	"Semi-evergreen broadleaf"	"SEBR"	11	"2012-01-01"		"Semi-evergreen broadleaf"	"Woody plants bearing flat leaves and dormant leaf buds that are large enough to observe; leaves are typically evergreen in mild climates but may senesce and drop leaves in more extreme climates or under stress conditions"
"Plant Phenology"	"phe.growthForm"	"Evergreen broadleaf - no leaf buds"	"EBL-NLB"	12	"2012-01-01"		"Evergreen broadleaf - no leaf buds"	"Woody plants bearing flat leaves; leaves may persist for multiple growing seasons, no distinct dormant period, does not produce dormant leaf buds"
"Plant Phenology"	"phe.growthForm"	"Evergreen broadleaf - no leaves"	"EBL-NL"	13	"2012-01-01"		"Evergreen broadleaf - no leaves"	"Woody plants bearing flat leaves, leaves may be absent or indistinguishable; no distinct dormant period"
"Plant Phenology"	"phe.growthForm"	"Evergreen conifer - no needles"	"EC-NN"	14	"2018-01-01"		"Evergreen conifer - no needles"	"Cone bearing plants that do not produce needles or dormant buds"
"Plant Phenology"	"phe.growthForm"	"Semi-evergreen forb"	"SEF"	15	"2012-01-01"		"Semi-evergreen forb"	"Non-woody forbs with aboveground leaf or leaf-like structures that are typically evergreen in mild conditions but may die back to the ground in more extreme parts of their range or under stress conditions in certain years"
