"typeName"	"lovName"	"lovElementName"	"lovElementCode"	"rank"	"elementStartDate"	"elementEndDate"	"elementPublicationCode"	"elementDesc"
"Plant Phenology"	"phe.phenophaseIntensity"	"<5%"	"< 5%"	1	"2012-01-01"		"< 5%"	"< 5%"
"Plant Phenology"	"phe.phenophaseIntensity"	"<25%"	"< 25%"	2	"2012-01-01"		"< 25%"	"< 25%"
"Plant Phenology"	"phe.phenophaseIntensity"	"5-24%"	"5-24%"	3	"2012-01-01"		"5-24%"	"5-24%"
"Plant Phenology"	"phe.phenophaseIntensity"	"25-49%"	"25-49%"	4	"2012-01-01"		"25-49%"	"25-49%"
"Plant Phenology"	"phe.phenophaseIntensity"	"50-74%"	"50-74%"	5	"2012-01-01"		"50-74%"	"50-74%"
"Plant Phenology"	"phe.phenophaseIntensity"	"75-94%"	"75-94%"	6	"2012-01-01"		"75-94%"	"75-94%"
"Plant Phenology"	"phe.phenophaseIntensity"	">=95% "	">= 95%"	7	"2012-01-01"		">= 95%"	">= 95%"
"Plant Phenology"	"phe.phenophaseIntensity"	"<3"	"< 3"	8	"2012-01-01"		"< 3"	"< 3"
"Plant Phenology"	"phe.phenophaseIntensity"	"3-10"	"3 to 10"	9	"2012-01-01"		"3 to 10"	"3 to 10"
"Plant Phenology"	"phe.phenophaseIntensity"	"11-100"	"11 to 100"	10	"2012-01-01"		"11 to 100"	"11 to 100"
"Plant Phenology"	"phe.phenophaseIntensity"	"101-1000"	"101 to 1000"	11	"2012-01-01"		"101 to 1000"	"101 to 1000"
"Plant Phenology"	"phe.phenophaseIntensity"	"1001-10000"	"1001 to 10000"	12	"2012-01-01"		"1001 to 10000"	"1001 to 10000"
"Plant Phenology"	"phe.phenophaseIntensity"	">10000"	"> 10000"	13	"2012-01-01"		"> 10000"	"> 10000"
"Plant Phenology"	"phe.phenophaseIntensity"	">1000"	"> 1000"	14	"2012-01-01"		"> 1000"	"> 1000"
