"DPName"	"table"	"tableDescription"	"dpID"	"fieldName"	"description"	"dataType"	"units"	"exampleEntry"	"sampleInfo"	"sampleClass"	"sampleGroups"	"parserToCreate"	"entryValidationRulesParser"	"entryValidationRulesForm"	"lovName"	"entryLabelIfDifferentFromFieldName"	"entryMethod"	"fieldType"	"smsFieldName"	"parserPath"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	"NA"					"[CREATE_UID]"					"fulcrum_v1"	"uid"		
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	"NA"	"CPER_001"			"taggedPlant"		"[NAMED_LOCATION_TYPE('OS Plot - phe')]"	"[REQUIRE][NAMED_LOCATION_TYPE('OS Plot - phe')][SUGGESTED_ENTRY(previousValue)]"		"plotid"	"fulcrum_v1"	"namedLocationName"	"collection_location|fate_location"	":7f8d"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"subtypeSpecification"	"Type of plot or grid; mammal: diversity, pathogen, training; bird: ninePoints, onePoint; phenology: primary, phenocam"	"string"	"NA"	"primary"					"[ASCII]"	"[HIDDEN][FROM_TABLE(tosSpatial:subtype)]"		"subtypespecification"	"fulcrum_v1"	"DP"		":c3e2"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"addDate"	"Date that individual was added for monitoring"	"dateTime"	"NA"	"2016-05-21"			"taggedPlant"	"[CONVERT_TO_UTC(namedLocation)]"		"[REQUIRE][SUGGESTED_ENTRY(systemDate)][DATE_FORMAT(YYYY-MM-DD)]"		"adddate"	"fulcrum_v1"	"activityStartDate"	"collect_start_date"	":3561"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	"NA"	"2016-06-21"			"taggedPlant"	"[DEFAULT_TO(editedDate)]"		"[REQUIRE][DEFAULT_TO(systemDate)][DATE_FORMAT(YYYY-MM-DD)][HIDDEN]"			"fulcrum_v1"	"activityEndDate"	"collect_end_date"	
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"editedDate"	"The date-time that record was edited"	"dateTime"	"NA"	"2016-05-21"				"[CONVERT_TO_UTC(namedLocation)]"				"editeddate"	"fulcrum_v1"	"DP"		":63d6"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"identifiedDate"	"Date on which the sample, individual, or specimen was identified"	"dateTime"	"NA"	"2016-06-21"			"taggedPlant"		"[IF(endDate > 2022-01-01T00:00), REQUIRE]"	"[HIDDEN]"		"identifieddate"	"fulcrum_v1"	"DP"	"fate_date"	":2566"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"samplingProtocolVersion"	"The NEON document number and version where detailed information regarding the sampling method used is available; format NEON.DOC.######vX"	"string"	"NA"	"NEON.DOC.014040vD"				"[LOV]"		"[LOV][SUGGESTED_ENTRY(previousValue)]"	"phe.samplingProtocolVersion"	"samplingprotocolversion"	"fulcrum_v1"	"DP"		":4f37"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"individualID"	"Domain-level unique identifier for an individual: NEON.MOD.D##.######"	"string"	"NA"	"NEON.PLA.D10.CPER.000002"	"Primary/parentSample"	"taggedPlant"	"taggedPlant"		"[MIGHT_EXIST][ASCII][REQUIRE]"			"individualid"	"fulcrum_v1"	"primarySampleTag"	"sample_tag"	":6d93"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"individualBarcode"	"Barcode for a tagged individual"	"string"	"NA"	"11FF079DB58949958EABA074E682B388"			"taggedPlant"		"[ASCII]"			"individualbarcode"	"fulcrum_v1"	"primarySampleBarcode"	"sample_code"	":d1ad"
"Plant phenology observations, Level 0"	"phe_perindividual_in"	"Spatial locations and taxonomic identification of tagged plants monitored for phenology"	"NEON.DOM.SITE.DP0.10002.001"	"individualFate"	"Fate of a tagged individual"	"string"	"NA"	"released"			"taggedPlant"		"[ASCII]"	"[DEFAULT_TO('released')][HIDDEN]"		"individualfate"	"fulcrum_v1"	"smsOnly"	"fate"	":3572"
