"rank"	"DPName"	"dpID"	"dpIDSource"	"DPNumber"	"table"	"tableDescription"	"fieldName"	"description"	"dataType"	"units"	"measurementScale"	"ontologyMapping"	"pubFormat"	"exampleEntry"	"usage"	"fieldType"	"tableType"	"inputs"	"ingestDPIDSource"	"ingestTableSource"	"ingestFieldSource"	"inputFieldParameter"	"filterSampleClass"	"timeIndex"	"timeDescription"	"downloadPkg"	"dataCategory"	"sampleInfo"	"lovName"	"primaryKey"	"redactionFlag"
1	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"B0F07806AEB2458BA3D5E9788EDA0650"	"both"	"uid"	"site-all"	"NA"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"GENERATED"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
2	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identificationTable"	"The table(s) containing the record to which this identification history applies"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"phe_perindividual"	"both"	"DP"	"site-all"	"identificationTable"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
3	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"individualID"	"Domain-level unique identifier for an individual: NEON.MOD.D##.######"	"string"	"NA"	"textDomain"	"DWC_v2013-05-25:materialSampleID [http://rs.tdwg.org/dwc/terms/history/index.htm#materialSampleID-2013-05-25]"	"asIs"	"NEON.PLA.D10.CPER.000002"	"both"	"DP"	"site-all"	"individualID"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
4	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"domainID"	"Unique identifier of the NEON domain"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]"	"asIs"	"D01"	"both"	"DP"	"site-all"	"DOMAIN"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"NAMED_LOCATION"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
5	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"siteID"	"NEON site code"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]"	"asIs"	"HARV"	"both"	"DP"	"site-all"	"SITE"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"NAMED_LOCATION"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
6	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	"NA"	"nominal"	"NA"	"asIs"	"HARV_033.basePlot"	"both"	"DP"	"site-all"	"namedLocationName"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"ACTIVITY_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
7	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identificationHistoryID"	"Identifier for linking records related to this identification history"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"B0F07806AEB2458BA3D5E9788EDA0650"	"both"	"DP"	"site-all"	"identificationHistoryID"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"Y"	"NA"
8	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identifiedDate"	"Date on which the sample, individual, or specimen was identified"	"dateTime"	"NA"	"dateTime"	"DWC_v2009-08-24:dateIdentified [http://rs.tdwg.org/dwc/terms/history/index.htm#dateIdentified-2009-08-24]"	"yyyy-MM-dd(floor)"	"2012-01-15"	"both"	"resultStartDate"	"site-all"	"activityStartDate"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"ACTIVITY_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"Y"	"NA"
9	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"endDate"	"The end date-time or interval during which an event occurred"	"dateTime"	"NA"	"dateTime"	"NA"	"yyyy-MM-dd(floor)"	"2012-01-15"	"both"	"resultEndDate"	"site-all"	"activityEndDate"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"ACTIVITY_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
10	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"taxonID"	"Species code, based on one or more sources"	"string"	"NA"	"nominal"	"NA"	"asIs"	"ACRU"	"both"	"DP"	"site-all"	"taxonID"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"INPUT_TAXONOMY"	"PLANT"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
11	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"acceptedTaxonID"	"Accepted species code, based on one or more sources"	"string"	"NA"	"nominal"	"DWC_v2009-08-24:taxonID [http://rs.tdwg.org/dwc/terms/history/index.htm#taxonID-2009-08-24]"	"asIs"	"ACRU"	"both"	"DP"	"site-all"	"acceptedTaxonID"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"NEON_TAXONOMY"	"PLANT"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
12	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"scientificName"	"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:scientificName [http://tdwg.github.io/dwc/terms/history/index.htm#scientificName-2009-09-21]"	"asIs"	"Acer rubra"	"both"	"DP"	"site-all"	"scientificName"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"NEON_TAXONOMY"	"PLANT"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
13	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identificationQualifier"	"A standard term to express the determiner's doubts about the Identification"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:identificationQualifier [http://rs.tdwg.org/dwc/terms/history/index.htm#identificationQualifier-2009-04-24]"	"LOV"	"cf. species"	"both"	"DP"	"site-all"	"identificationQualifier"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"div.identificationQualifier"	"N"	"NA"
14	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identificationReferences"	"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used"	"string"	"NA"	"nominal"	"DWC_v2014-10-23:identificationReferences [http://rs.tdwg.org/dwc/terms/history/index.htm#identificationReferences-2014-10-23]"	"LOV"	"Nelson, G. 2000. The ferns of Florida. Pineapple Press, Inc. Sarasota, Florida, USA."	"both"	"DP"	"site-all"	"identificationReferences"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"div.identificationReferences"	"N"	"NA"
15	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identificationRemarks"	"Comments or notes about the identification"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:identificationRemarks [http://rs.tdwg.org/dwc/terms/history/index.htm#identificationRemarks-2009-04-24]"	"LOV"	"field determination error"	"both"	"DP"	"site-all"	"identificationRemarks"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"identificationRemarks"	"N"	"NA"
16	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"Only specimen from collection period"	"both"	"DP"	"site-all"	"remarks"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
17	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"identifiedBy"	"An identifier for the technician who identified the specimen"	"string"	"NA"	"textDomain"	"DWC_v2014-10-23:identifiedBy [http://rs.tdwg.org/dwc/terms/history/index.htm#identifiedBy-2014-10-23]"	"asIs"	"J. Shepard"	"both"	"DP"	"site-all"	"identifiedBy"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
18	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_identificationHistory_pub"	"Phenology identification history for records where identifications have changed"	"dataQF"	"Data quality flag"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"NA"	"both"	"DP"	"site-all"	"dataQF"	"NEON.DOM.SITE.DP0.10002.001"	"phe_identificationHistory_in"	"DP_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
1	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_perindividual_pub"	"Geolocation and taxonomic identification for phenology plants"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	"NA"	"textDomain"	"NA"	"asIs"	"B0F07806AEB2458BA3D5E9788EDA0649"	"both"	"uid"	"site-all"	"uid"	"NEON.DOM.SITE.DP0.10002.001"	"phe_perindividual_in"	"GENERATED"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
2	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_perindividual_pub"	"Geolocation and taxonomic identification for phenology plants"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	"NA"	"nominal"	"NA"	"asIs"	"HARV_033.basePlot"	"both"	"DP"	"site-all"	"namedLocationName"	"NEON.DOM.SITE.DP0.10002.001"	"phe_perindividual_in"	"ACTIVITY_TABLE"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
3	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_perindividual_pub"	"Geolocation and taxonomic identification for phenology plants"	"domainID"	"Unique identifier of the NEON domain"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]"	"asIs"	"D17"	"both"	"DP"	"site-all"	"DOMAIN"	"NEON.DOM.SITE.DP0.10002.001"	"phe_perindividual_in"	"NAMED_LOCATION"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
4	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_perindividual_pub"	"Geolocation and taxonomic identification for phenology plants"	"siteID"	"NEON site code"	"string"	"NA"	"nominal"	"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]"	"asIs"	"SJER"	"both"	"DP"	"site-all"	"SITE"	"NEON.DOM.SITE.DP0.10002.001"	"phe_perindividual_in"	"NAMED_LOCATION"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
5	"Plant phenology observations"	"NEON.DOM.SITE.DP1.10055.001"	"NEON.DOM.SITE.DP1.10055.001"	"NA"	"phe_perindividual_pub"	"Geolocation and taxonomic identification for phenology plants"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	"NA"	"nominal"	"NA"	"asIs"	"SJER_042"	"both"	"DP"	"site-all"	"Plot ID"	"NEON.DOM.SITE.DP0.10002.001"	"phe_perindividual_in"	"NAMED_LOCATION"	"NA"	"NA"	0	"NA"	"basic"	"N"	"NA"	"NA"	"N"	"NA"
