Site,Sampling,Tree_extend_DOY,Non-tree_extend_DOY
ABBY,seasonal,,
BARR,unknown,,
BART,seasonal,,
BLAN,seasonal,,
BONA,seasonal,,
CLBJ,ongoing,30,1
CPER,seasonal,,
DCFS,unknown,,
DEJU,seasonal,,
DELA,seasonal,,
DSNY,ongoing,1,1
GRSM,seasonal,,
GUAN,unknown,,
HARV,seasonal,,
HEAL,seasonal,,
JERC,ongoing,100,1
JORN,ongoing,60,60
KONA,unknown,,
KONZ,seasonal,,
LAJA,ongoing,1,1
LENO,seasonal,,
MLBS,seasonal,,
MOAB,seasonal,,
NIWO,seasonal,,
NOGP,seasonal,,
OAES,seasonal,,
ONAQ,seasonal,,
ORNL,seasonal,,
OSBS,ongoing,90,90
RMNP,unknown,,
SCBI,seasonal,,
SERC,seasonal,,
SJER,ongoing,60,180
SRER,ongoing,1,1
STEI,seasonal,,
STER,unknown,,
TALL,ongoing,90,90
TOOL,seasonal,,
TREE,seasonal,,
UKFS,seasonal,,
UNDE,seasonal,,
WOOD,seasonal,,
