site,trtUnit,side,scarified,grass,forbs,moss,bareGround,disturbance,voleDisturbance,litterCover,litterDepth,year
Bellfountain,3,L,n,50,37,4.5,0.5,0,,,2.6,2010
Bellfountain,3,R,y,67,26,4,0,0,,,2.8,2010
Bellfountain,6,R,n,35,45.5,15,0,7.5,,,1,2010
Bellfountain,6,L,y,33.5,43.5,16.5,0.5,5,,,1.7,2010
Bellfountain,8,L,n,72.5,20.5,8.5,0.5,1,,,2.9,2010
Bellfountain,8,R,y,52,55.5,22.5,2.5,0,,,1.6,2010
Bellfountain,10,L,n,50.5,42,6.5,4,2.5,,,1,2010
Bellfountain,10,R,y,30,60,5,4,2,,,1.7,2010
Bellfountain,12,R,n,29.5,66.5,4.5,0,0,,,4.2,2010
Bellfountain,12,L,y,59,42,10,2,0,,,3.7,2010
Bellfountain,13,R,n,11.5,77.5,18,0.5,0,,,0.7,2010
Bellfountain,13,L,y,41.5,51.5,15.5,1,0.5,,,1,2010
Bellfountain,15,L,n,3.5,81.5,7,2.5,12,,,0.4,2010
Bellfountain,15,R,y,11,79,9,1.5,1.5,,,1,2010
Bellfountain,17,R,n,60.5,29,10,2.5,0.5,,,4,2010
Bellfountain,17,L,y,57.5,31.5,6.5,0.5,7.5,,,0.6,2010
Bellfountain,18,L,n,4,70,29,4,0,,,0.5,2010
Bellfountain,18,R,y,5.5,57.5,40.5,0,0.5,,,0.6,2010
Bellfountain,20,R,n,1.5,79.5,20,3,2.5,,,0.8,2010
Bellfountain,20,L,y,4.5,66,13.5,1,16.5,,,0.3,2010
Bellfountain,23,L,n,0.5,73.5,8.5,3.5,22,,,0.9,2010
Bellfountain,23,R,y,1.5,51,4,2.5,41,,,1,2010
Bellfountain,24,L,n,6.5,86,16,4,0,,,1.2,2010
Bellfountain,24,R,y,9,76,20.5,0.5,0,,,1.2,2010
Bellfountain,26,L,n,46.5,26.5,5.5,0,17.5,,,0.9,2010
Bellfountain,26,R,y,52.5,23.5,23.5,0,0,,,0.7,2010
Bellfountain,27,L,n,48.5,49,8.5,0,0,,,1.3,2010
Bellfountain,27,R,y,46.5,49,0.5,0.5,0,,,2.7,2010
Bellfountain,33,R,n,58.5,22,31.5,0,0,,,6.4,2010
Bellfountain,33,L,y,46.5,43.5,22.5,0,0,,,3.7,2010
Bellfountain,34,R,n,62.5,30.5,10.5,0,0,,,2.9,2010
Bellfountain,34,L,y,73,28,5,0,0,,,3.8,2010
Bellfountain,35,R,n,12.5,81.5,6,0,0,,,3.7,2010
Bellfountain,35,L,y,6.5,89,4.5,0,0,,,1.2,2010
Bellfountain,37,L,n,18,77.5,1.5,3.5,0,,,1.3,2010
Bellfountain,37,R,y,20,69,9,0,0,,,1.8,2010
Bellfountain,40,L,n,75.5,28,5,0,0,,,3.8,2010
Bellfountain,40,R,y,85,14,1.5,0,0,,,3.7,2010
Bellfountain,44,L,n,1.5,91,14.5,0,0,,,0.7,2010
Bellfountain,44,R,y,0.5,94,12,1.5,0,,,0.9,2010
Ft. Hoskins,2,R,n,12.5,36,96.5,0,1,,,1.4,2010
Ft. Hoskins,2,L,y,9,47,89,1.5,1,,,1.9,2010
Ft. Hoskins,6,R,n,20.5,72.5,5,4,0,,,1.5,2010
Ft. Hoskins,6,L,y,42,42,14.5,3.5,0,,,1.8,2010
Ft. Hoskins,9,L,n,23,61.5,7,1,0,,,1.8,2010
Ft. Hoskins,9,R,y,62.5,32.5,0,0.5,0,,,5,2010
Ft. Hoskins,11,R,n,6,82,20.5,0,0,,,1.9,2010
Ft. Hoskins,11,L,y,8,78.5,15,6,0.5,,,2.2,2010
Ft. Hoskins,16,L,n,75,20.5,0,1.5,4.5,,,2.4,2010
Ft. Hoskins,16,R,y,77.5,16.5,0,0,5.5,,,1.8,2010
Ft. Hoskins,20,R,n,3,95,20,3,0,,,0.7,2010
Ft. Hoskins,20,L,y,1.5,77,27,5,2,,,1.3,2010
Ft. Hoskins,21,L,n,33.5,61.5,1.5,3.5,0,,,1.4,2010
Ft. Hoskins,21,R,y,17,70,4,3,0,,,2.1,2010
Ft. Hoskins,25,L,n,13.5,64,1,0,20,,,1.4,2010
Ft. Hoskins,25,R,y,30,22.5,3,39.5,5,,,1.6,2010
Ft. Hoskins,30,L,n,30,66,0,0,2.5,,,1.75,2010
Ft. Hoskins,30,R,y,30.5,66,0,2.5,3,,,2.3,2010
Ft. Hoskins,32,L,n,15,77.5,1.5,5,0,,,2.8,2010
Ft. Hoskins,32,R,y,28.5,70,1.5,1,0,,,2.2,2010
Ft. Hoskins,33,L,n,36,60,0,4.5,1,,,1.9,2010
Ft. Hoskins,33,R,y,48.5,48.5,2,2.5,0,,,2.4,2010
Ft. Hoskins,37,R,n,37,59,24,0,3,,,3.4,2010
Ft. Hoskins,37,L,y,48,45,25.5,1.5,2.5,,,2.5,2010
Ft. Hoskins,38,L,n,62.5,35.5,1.5,3,0,,,2.3,2010
Ft. Hoskins,38,R,y,67.5,29,12,0.5,1,,,1.9,2010
Ft. Hoskins,39,R,n,22.5,73,8.5,0,1.5,,,1.2,2010
Ft. Hoskins,39,L,y,12.5,77.5,14,0,0,,,1.8,2010
Ft. Hoskins,40,L,n,23.5,72.5,0.5,0,1.5,,,1.7,2010
Ft. Hoskins,40,R,y,52,43.5,2,2.5,1.5,,,1.3,2010
Ft. Hoskins,42,R,n,8.5,82,21.5,0,0,,,2,2010
Ft. Hoskins,42,L,y,11,76.5,37.5,0,0,,,1.8,2010
Ft. Hoskins,43,L,n,71,54,0,1,0,,,5.6,2010
Ft. Hoskins,43,R,y,46.5,38.5,1,3,0,,,3.6,2010
Ft. Hoskins,44,L,n,12,67.5,21.5,2,0,,,2.6,2010
Ft. Hoskins,44,R,y,13.5,65.5,62.5,0,0,,,3,2010
Ft. Hoskins,49,L,n,27,55.5,2,7,2,,,2,2010
Ft. Hoskins,49,R,y,13.5,80.5,0,4,0,,,1.3,2010
Ft. Hoskins,50,L,n,14,67.5,0,2,14.5,,,1.3,2010
Ft. Hoskins,50,R,y,17,71,3,2.5,0,,,2.6,2010
Pigeon Butte,2,R,n,3.5,63.5,0,31,0,,,0,2010
Pigeon Butte,2,L,y,2.5,78.5,0,19,0,,,0.5,2010
Pigeon Butte,3,L,n,15,63,5.5,8.5,1.5,,,3,2010
Pigeon Butte,3,R,y,9.5,71,1,7,12.5,,,1.8,2010
Pigeon Butte,5,R,n,15.5,75,2,3,0,,,2.7,2010
Pigeon Butte,5,L,y,12,82.5,0,1.5,0,,,3.8,2010
Pigeon Butte,6,R,n,1.5,67.5,0,7,18.5,,,0.5,2010
Pigeon Butte,6,L,y,3.5,80.5,0,2,13.5,,,0.5,2010
Pigeon Butte,9,R,n,44,51.5,1.5,6,0,,,1.9,2010
Pigeon Butte,9,L,y,42,53,0,0.5,0,,,4.3,2010
Pigeon Butte,12,L,n,,,,,,,,,2010
Pigeon Butte,12,R,y,,,,,,,,,2010
Pigeon Butte,17,R,n,11,53.5,0,1,32.5,,,0.4,2010
Pigeon Butte,17,L,y,38,40,0,0,20.5,,,1.6,2010
Pigeon Butte,18,R,n,8.5,77.5,0,0,20.5,,,1.3,2010
Pigeon Butte,18,L,y,11,69.5,0,2,20,,,1.1,2010
Pigeon Butte,24,L,n,6.5,82,0,9.5,0,,,0.6,2010
