"ID","LabIDNum","Date","Year","Site","Treatment","PlotNum","Rep","Depth","RockMass","Tin mass (g)","tin+wet soil (g)","Tin+Dry (g)","Wet soil (g)","Dry soil (g)","% Moisture","Fraction of soild (g)","pH","Control wet (g)","Control dry (g)","NH4 corrected mg/L","NO3 corrected mg/L","Volume (L)","mg NH4/kg","mg NO3/kg soil","Field24","TOC mg/L","TN mg/L","Extractable Carbon ug C/g soil","Extractable Total Nitrogen ug TN/g soil","C%","H %","N %","Combustion C ugC/mg","Combustion H ugH/mg","Combustion N ugN/mg","WC","WS","WA","LOI","OM","Conductivity (us)","POM rock wt (g)","labeled flask and stopper (g)","sample wt (g)","wt of labeled beaker A (g)","weight of labeled beaker B (g)","wt of dried sample and beaker A (g)","weight of dried sample and beaker B(g)"
1,9220.00,38555.00,2009,"Bellfountain","Control",3.00,1.00,10.00,0.00,1.29,25.17,24.14,23.88,22.85,4.50,0.95,4.88,25.18,24.09,1.16,0.79,0.10,4.83,3.29,101.08,61.88,4.29,259.61,18.00,3.05,0.93,0.37,30.50,9.30,3.70,11.93,12.46,12.41,9.19,6.20,61.70,0.00,"105.5529",10.00,117.18,112.93,119.25,120.96
2,9227.00,38555.00,2009,"Bellfountain","Control",17.00,2.00,10.00,0.00,1.30,25.18,23.23,23.88,21.93,8.89,0.91,4.86,25.13,23.07,1.11,0.78,0.10,4.83,3.39,102.05,72.68,5.67,321.39,25.09,4.25,1.12,0.64,42.50,11.20,6.40,11.76,12.35,12.28,12.20,8.31,72.60,0.00,"114.040210.0006",112.13,113.73,114.40,127.53,
3,9233.00,38555.00,2009,"Bellfountain","Control",27.00,3.00,10.00,0.00,1.29,25.01,23.30,23.72,22.01,7.76,0.92,4.98,25.10,23.29,0.57,0.75,0.10,2.48,3.23,101.80,75.84,4.07,331.51,17.79,3.05,1.10,0.43,30.50,11.00,4.30,10.96,11.58,11.52,9.75,6.60,63.50,0.00,"108.5182",10.00,115.85,117.31,118.24,125.01
4,9236.00,38555.00,2009,"Bellfountain","Control",35.00,4.00,10.00,0.00,1.28,25.02,23.13,23.74,21.85,8.64,0.92,4.98,25.22,23.21,0.66,0.72,0.10,2.85,3.11,102.00,72.88,3.75,320.27,16.50,3.06,1.03,0.49,30.60,10.30,4.90,11.85,12.28,12.24,10.34,7.01,67.10,3.0e-03,"114.015",10.00,113.87,113.26,116.69,120.54
5,9222.00,38555.00,2009,"Bellfountain","Mow + Burn",8.00,1.00,10.00,0.00,1.30,25.03,23.62,23.73,22.32,6.31,0.94,4.57,25.09,23.59,1.66,1.29,0.10,7.05,5.49,101.49,81.96,6.86,352.47,29.51,3.36,1.13,0.65,33.60,11.30,6.50,11.99,12.50,12.44,11.35,7.71,84.00,,,,,,,
6,9223.00,38555.00,2009,"Bellfountain","Mow + Burn",10.00,2.00,10.00,0.00,1.28,25.05,23.77,23.77,22.49,5.69,0.94,5.08,25.08,23.72,3.06,1.63,0.10,12.91,6.89,101.35,73.28,7.94,312.98,33.94,3.70,1.04,0.61,37.00,10.40,6.10,11.47,12.05,11.98,11.71,7.97,93.50,,,,,,,
7,9232.00,38555.00,2009,"Bellfountain","Mow + Burn",26.00,3.00,10.00,0.00,1.27,25.38,22.90,24.11,21.63,11.46,0.89,5.26,25.09,22.50,1.75,0.99,0.10,7.80,4.42,102.58,66.48,4.16,302.96,18.95,3.39,1.12,0.51,33.90,11.20,5.10,11.27,11.68,11.64,10.12,6.86,73.10,,,,,,,
8,9237.00,38555.00,2009,"Bellfountain","Mow + Burn",37.00,4.00,10.00,0.00,1.29,25.28,23.39,23.99,22.10,8.55,0.92,4.86,25.26,23.26,2.18,1.35,0.10,9.39,5.82,101.99,78.80,6.40,345.37,28.06,4.44,1.07,0.59,44.40,10.70,5.90,11.17,11.64,11.59,12.23,8.33,74.20,,,,,,,
9,9224.00,38555.00,2009,"Bellfountain","Mow + Mow",12.00,1.00,10.00,0.00,1.31,24.95,23.11,23.64,21.80,8.44,0.92,5.07,25.41,23.43,1.36,0.78,0.10,5.82,3.34,101.97,87.00,5.60,378.62,24.40,4.17,1.13,0.78,41.70,11.30,7.80,11.64,12.23,12.15,14.19,9.70,90.20,,,,,,,
10,9234.00,38555.00,2009,"Bellfountain","Mow + Mow",33.00,2.00,10.00,0.00,1.28,25.28,23.26,24.00,21.98,9.19,0.91,4.84,25.24,23.11,1.57,0.74,0.10,6.81,3.21,102.12,100.12,7.20,442.32,31.82,4.69,1.07,0.73,46.90,10.70,7.30,11.74,12.39,12.31,12.31,8.39,74.70,,,,,,,
11,9235.00,38555.00,2009,"Bellfountain","Mow + Mow",34.00,3.00,10.00,0.00,1.29,25.34,23.36,24.05,22.07,8.97,0.91,5.08,25.35,23.26,0.66,0.72,0.10,2.86,3.13,102.08,88.24,4.28,387.23,18.81,3.99,1.09,0.56,39.90,10.90,5.60,11.18,11.66,11.60,12.50,8.52,65.70,,,,,,,
12,9238.00,38555.00,2009,"Bellfountain","Mow + Mow",40.00,4.00,10.00,0.00,1.29,25.03,23.03,23.74,21.74,9.19,0.91,4.99,25.00,22.89,1.03,0.74,0.10,4.52,3.24,102.10,71.76,4.85,320.04,21.65,3.46,1.01,0.68,34.60,10.10,6.80,11.47,12.00,11.94,11.78,8.01,83.30,,,,,,,
13,9226.00,38555.00,2009,"Bellfountain","Poast + Burn ",15.00,1.00,10.00,0.00,1.29,25.06,23.42,23.77,22.13,7.41,0.93,5.00,25.25,23.50,2.07,1.59,0.10,8.83,6.78,101.74,55.64,5.67,240.80,24.54,3.44,1.03,0.50,34.40,10.30,5.00,11.70,12.17,12.12,10.38,7.03,76.10,,,,,,,
14,9229.00,38555.00,2009,"Bellfountain","Poast + Burn ",20.00,2.00,10.00,0.00,1.28,25.31,23.16,24.03,21.88,9.82,0.91,4.72,24.89,22.66,1.66,1.65,0.10,7.35,7.30,102.22,76.40,6.83,344.61,30.83,3.34,1.14,0.50,33.40,11.40,5.00,12.04,12.55,12.49,11.47,7.80,84.90,,,,,,,
15,9230.00,38555.00,2009,"Bellfountain","Poast + Burn ",23.00,3.00,10.00,0.00,1.28,25.35,23.80,24.07,22.52,6.88,0.93,5.21,25.03,23.41,1.38,0.76,0.10,5.91,3.28,101.61,67.24,5.01,291.75,21.74,3.13,1.09,0.47,31.30,10.90,4.70,11.27,11.78,11.73,10.73,7.28,67.00,,,,,,,
16,9239.00,38555.00,2009,"Bellfountain","Poast + Burn ",44.00,4.00,10.00,0.00,1.29,25.16,23.33,23.87,22.04,8.30,0.92,5.24,25.13,23.20,1.82,0.82,0.10,7.86,3.55,101.92,69.80,5.32,306.61,23.36,4.33,1.08,0.75,43.30,10.80,7.50,11.72,12.35,12.23,19.11,13.14,94.00,,,,,,,
17,9221.00,38555.00,2009,"Bellfountain","Poast + Mow",6.00,1.00,10.00,0.00,1.28,25.11,23.68,23.83,22.40,6.38,0.93,4.61,24.93,23.43,1.03,0.86,0.10,4.42,3.67,101.49,87.28,6.31,378.02,27.35,3.90,1.02,0.56,39.00,10.20,5.60,10.99,11.49,11.43,11.07,7.52,76.20,,,,,,,
18,9225.00,38555.00,2009,"Bellfountain","Poast + Mow",13.00,2.00,10.00,0.00,1.30,25.01,22.77,23.71,21.47,10.43,0.90,5.03,25.28,22.89,1.23,0.79,0.10,5.39,3.45,102.38,77.76,5.62,347.79,25.13,4.16,1.05,0.75,41.60,10.50,7.50,11.53,12.13,12.05,12.68,8.65,92.50,,,,,,,
19,9228.00,38555.00,2009,"Bellfountain","Poast + Mow",18.00,3.00,10.00,0.00,1.31,25.26,23.42,23.95,22.11,8.32,0.92,4.83,25.09,23.16,0.52,0.77,0.10,2.24,3.34,101.92,83.76,5.25,368.59,23.12,4.29,1.10,0.54,42.90,11.00,5.40,11.56,12.05,11.99,12.36,8.42,65.40,,,,,,,
20,9231.00,38555.00,2009,"Bellfountain","Poast + Mow",24.00,4.00,10.00,0.00,1.28,25.27,23.58,23.99,22.30,7.57,0.92,5.07,25.20,23.42,0.61,0.69,0.10,2.63,2.94,101.77,72.16,2.95,313.51,12.82,2.87,1.14,0.54,28.70,11.40,5.40,11.68,12.19,12.13,11.60,7.89,69.40,,,,,,,
21,9128.00,38553.00,2009,"Glacial","Control",9.00,1.00,10.00,13.38,1.28,25.22,24.47,23.94,23.19,3.23,0.96,4.85,25.16,24.37,1.48,0.07,0.10,6.09,0.29,100.78,133.52,6.78,552.16,28.03,14.96,1.06,2.36,149.60,10.60,23.60,11.62,12.10,11.95,30.86,21.37,68.40,,,,,,,
22,9134.00,38553.00,2009,"Glacial","Control",15.00,2.00,10.00,9.70,1.28,25.06,23.74,23.78,22.46,5.87,0.94,4.86,24.97,23.58,2.60,0.03,0.10,11.04,0.14,101.38,186.20,10.73,800.46,46.13,18.63,0.95,2.86,186.30,9.50,28.60,11.84,12.32,12.15,35.63,24.71,117.40,,,,,,,
23,9136.00,38553.00,2009,"Glacial","Control",17.00,3.00,10.00,10.64,1.28,25.24,23.88,23.96,22.60,6.01,0.94,4.98,25.40,23.95,2.06,0.12,0.10,8.62,0.50,101.44,128.64,8.50,544.67,35.98,16.90,0.99,3.10,169.00,9.90,31.00,12.02,12.51,12.35,32.64,22.62,90.40,,,,,,,
24,9138.00,38553.00,2009,"Glacial","Control",19.00,4.00,10.00,8.99,1.27,25.30,23.50,24.03,22.23,8.09,0.92,4.98,24.85,22.98,1.87,0.11,0.10,8.15,0.50,101.86,134.64,8.50,596.58,37.66,19.33,0.85,2.59,193.30,8.50,25.90,10.99,11.48,11.32,32.12,22.25,98.10,,,,,,,
