"Site","Large scale","Year","Site or Plot level","PlotID","Date collected","Sample .","Type","Biomass (g)","PlotNum"
"Bellfountain","S",2008,"Site",,6/4/2008 0:00:00,"2","Forbs",4.93,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"2","Graminoids",19.63,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"2","Litter/Moss/Lichen",21.65,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"3","Forbs",6.79,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"3","Graminoids",15.74,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"5","Forbs",5.14,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"5","Graminoids",26.58,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"5","Litter/Moss/Lichen",16.20,
"Bellfountain","S",2008,"Site",,6/10/2008 0:00:00,"33","Litter/Moss/Lichen",24.53,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"1","Forbs",13.83,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"1","Graminoids",5.94,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"1","Litter/Moss/Lichen",14.45,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"2","Forbs",5.81,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"2","Graminoids",7.38,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"2","Litter/Moss/Lichen",11.06,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"3","Forbs",4.22,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"3","Graminoids",3.92,
"Glacial","S",2008,"Site",,6/27/2008 0:00:00,"3","Litter/Moss/Lichen",19.13,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"1","Forbs",22.01,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"1","Graminoids",5.24,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"1","Litter/Moss/Lichen",29.28,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"1","Shrubs",0.96,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"2","Forbs",14.65,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"2","Graminoids",8.47,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"2","Litter/Moss/Lichen",17.83,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"2","Shrubs",2.62,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"3","Forbs",18.83,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"3","Graminoids",6.01,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"3","Litter/Moss/Lichen",20.03,
"Hoskins","S",2008,"Site",,6/23/2008 0:00:00,"3","Shrubs",0.37,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"1","Forbs",5.49,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"1","Graminoids",12.52,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"1","Litter/Moss/Lichen",13.74,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"2","Forbs",14.64,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"2","Graminoids",7.70,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"2","Litter/Moss/Lichen",17.94,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"2","Shrubs",9.99999999999979e-03,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"3","Forbs",4.37,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"3","Graminoids",11.76,
"Mima","S",2008,"Site",,6/27/2008 0:00:00,"3","Litter/Moss/Lichen",31.05,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"12","Forbs",2.52,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"12","Graminoids",2.45,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"12","Litter/Moss/Lichen",139.97,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"16","Forbs",3.68,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"16","Graminoids",5.37,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"16","Litter/Moss/Lichen",88.31,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"20","Forbs",3.20,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"20","Graminoids",11.00,
"Morgan","L",2008,"Site",,6/4/2008 0:00:00,"20","Litter/Moss/Lichen",105.96,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"1","Forbs",5.81,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"1","Graminoids",8.31,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"1","Litter/Moss/Lichen",90.03,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"2","Forbs",0.57,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"2","Graminoids",7.30,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"2","Litter/Moss/Lichen",119.45,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"3","Forbs",2.31,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"3","Graminoids",8.25,
"Morgan","S",2008,"Site",,6/4/2008 0:00:00,"3","Litter/Moss/Lichen",63.72,
"Pigeon","S",2008,"Site",,6/10/2008 0:00:00,"1","Forbs",9.64,
"Pigeon","S",2008,"Site",,6/10/2008 0:00:00,"1","Graminoids",13.44,
