"Site","Year","QuadID","Species","Cover","Treatment","Seeding07","Seeding06","SEED","Growth Habit","Duration","US Nativity","Seeded"
"Bellfountain",2009,"BF-10-1","Achillea millefolium",0.00,"B","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-1","Agoseris grandiflora",2.00,"B","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-1","Agrostis",15.00,"B","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Aira caryophyllea",0.00,"B","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Bare Soil",30.00,"B","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-10-1","Bromus hordeaceus",0.20,"B","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Cerastium glomeratum",0.80,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Cruciata pedemontana",0.60,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Cynosurus echinatus",0.00,"B","SD","SD","Both","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Danthonia californica",0.00,"B","SD","SD","Both","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-1","Daucus pusillus",0.20,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Elymus glaucus",2.00,"B","SD","SD","Both","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-1","Epilobium brachycarpum",0.00,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Eriophyllum lanatum",5.00,"B","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-1","Fragaria virginiana",0.00,"B","SD","SD","Both","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-1","Galium divaricatum",3.00,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Holcus lanatus",0.00,"B","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Hypericum perforatum",0.20,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Hypochaeris radicata",0.00,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Leucanthemum vulgare",1.00,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Lichen",0.00,"B","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-10-1","Linanthus bicolor",0.40,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Litter",60.00,"B","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-10-1","Lomatium utriculatum",2.00,"B","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-1","Lotus micranthus",0.00,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Luzula comosa",0.10,"B","SD","SD","Both","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-1","Madia gracilis",0.00,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Microsteris gracilis",4.00,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Moss",0.00,"B","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-10-1","Myosotis discolor",0.30,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Parentucellia viscosa",0.10,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Plectritis congesta",0.10,"B","SD","SD","Both","Forb","Annual","Native","Yes"
"Bellfountain",2009,"BF-10-1","Poa pratensis",0.00,"B","SD","SD","Both","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Ranunculus occidentalis",0.40,"B","SD","SD","Both","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-1","Rock",0.00,"B","SD","SD","Both","Substrate",,,
"Bellfountain",2009,"BF-10-1","Rumex acetosella",0.20,"B","SD","SD","Both","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-1","Sherardia arvensis",0.40,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Triphysaria pusilla",0.40,"B","SD","SD","Both","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-1","Veronica arvensis",0.40,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Vicia hirsuta",0.00,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-1","Vicia sativa",3.00,"B","SD","SD","Both","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Achillea millefolium",0.00,"B","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-2","Agoseris grandiflora",4.00,"B","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Agrostis",0.50,"B","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Aira caryophyllea",0.20,"B","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Annual Bromus",0.20,"B","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Bare Soil",20.00,"B","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-10-2","Bromus hordeaceus",1.50,"B","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Cardamine oligosperma",0.10,"B","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Carex tumulicola",0.30,"B","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Cerastium glomeratum",0.40,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Cruciata pedemontana",1.20,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Cynosurus echinatus",0.40,"B","NS","SD","2006","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Danthonia californica",0.10,"B","NS","SD","2006","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-2","Daucus pusillus",0.00,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Elymus glaucus",0.00,"B","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Epilobium brachycarpum",0.00,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Eriophyllum lanatum",0.80,"B","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-2","Fragaria virginiana",0.00,"B","NS","SD","2006","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Galium divaricatum",5.00,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Geranium dissectum",0.00,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Holcus lanatus",0.60,"B","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Hypericum perforatum",0.20,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Leucanthemum vulgare",1.20,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Lichen",0.00,"B","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-10-2","Linanthus bicolor",0.30,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Litter",65.00,"B","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-10-2","Lomatium utriculatum",1.50,"B","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-2","Lotus micranthus",0.70,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Luzula comosa",0.00,"B","NS","SD","2006","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-2","Microsteris gracilis",2.00,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Moss",15.00,"B","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-10-2","Myosotis discolor",1.10,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Nemophila parviflora",0.70,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Poa pratensis",0.00,"B","NS","SD","2006","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Ranunculus occidentalis",0.50,"B","NS","SD","2006","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-2","Rock",0.00,"B","NS","SD","2006","Substrate",,,
"Bellfountain",2009,"BF-10-2","Rumex acetosella",0.10,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Senecio jacobaea",0.00,"B","NS","SD","2006","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-2","Sherardia arvensis",0.00,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Triphysaria pusilla",0.50,"B","NS","SD","2006","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-2","Veronica arvensis",0.30,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Vicia hirsuta",0.00,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-2","Vicia sativa",1.00,"B","NS","SD","2006","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Agoseris grandiflora",0.80,"B","SD","NS","2007","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-3","Agrostis",12.00,"B","SD","NS","2007","Graminoid","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Aira caryophyllea",0.30,"B","SD","NS","2007","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Bare Soil",13.00,"B","SD","NS","2007","Substrate",,,
"Bellfountain",2009,"BF-10-3","Brodiaea coronaria",0.30,"B","SD","NS","2007","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-3","Bromus hordeaceus",0.60,"B","SD","NS","2007","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Cerastium glomeratum",1.30,"B","SD","NS","2007","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Cruciata pedemontana",2.00,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Cynosurus echinatus",0.20,"B","SD","NS","2007","Graminoid","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Danthonia californica",0.00,"B","SD","NS","2007","Graminoid","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-3","Daucus carota",0.00,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Daucus pusillus",0.20,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Elymus glaucus",0.60,"B","SD","NS","2007","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-3","Epilobium brachycarpum",0.00,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Eriophyllum lanatum",0.20,"B","SD","NS","2007","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-3","Fragaria virginiana",1.50,"B","SD","NS","2007","Forb","Perennial","Native",
"Bellfountain",2009,"BF-10-3","Galium divaricatum",0.00,"B","SD","NS","2007","Forb","Annual","Exotic",
"Bellfountain",2009,"BF-10-3","Hypericum perforatum",0.10,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Hypochaeris radicata",0.10,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Leucanthemum vulgare",0.50,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Lichen",0.00,"B","SD","NS","2007","Substrate",,,
"Bellfountain",2009,"BF-10-3","Linanthus bicolor",7.00,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Litter",80.00,"B","SD","NS","2007","Substrate",,,
"Bellfountain",2009,"BF-10-3","Lomatium utriculatum",0.10,"B","SD","NS","2007","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-3","Lotus micranthus",0.00,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Luzula comosa",0.00,"B","SD","NS","2007","Graminoid","Perennial","Native",
"Bellfountain",2009,"BF-10-3","Microsteris gracilis",6.00,"B","SD","NS","2007","Forb","Annual","Native",
"Bellfountain",2009,"BF-10-3","Moss",0.00,"B","SD","NS","2007","Substrate",,,
"Bellfountain",2009,"BF-10-3","Myosotis discolor",0.40,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Ranunculus occidentalis",0.10,"B","SD","NS","2007","Forb","Perennial","Native","Yes"
"Bellfountain",2009,"BF-10-3","Rock",0.00,"B","SD","NS","2007","Substrate",,,
"Bellfountain",2009,"BF-10-3","Rumex acetosella",0.00,"B","SD","NS","2007","Forb","Perennial","Exotic",
"Bellfountain",2009,"BF-10-3","Sherardia arvensis",0.00,"B","SD","NS","2007","Forb","Annual","Exotic",
