"Site","PlotID","Year","Plot .","LightAbove","LightGround","LightInterception"
"Bellfountain","BF-10",2006,10.00,1384.66,993.33,28.29
"Bellfountain","BF-10",2007,10.00,1627.25,907.00,44.18
"Bellfountain","BF-10",2008,10.00,475.00,297.75,37.28
"Bellfountain","BF-10",2009,10.00,1810.25,1044.25,42.25
"Bellfountain","BF-12",2006,12.00,1348.66,1079.83,20.04
"Bellfountain","BF-12",2007,12.00,1637.50,968.75,40.86
"Bellfountain","BF-12",2008,12.00,486.25,344.75,29.08
"Bellfountain","BF-12",2009,12.00,1843.75,1053.25,42.90
"Bellfountain","BF-13",2006,13.00,1317.00,1045.33,20.50
"Bellfountain","BF-13",2007,13.00,1638.00,992.75,39.40
"Bellfountain","BF-13",2008,13.00,491.00,377.25,23.25
"Bellfountain","BF-13",2009,13.00,1847.50,1295.75,29.91
"Bellfountain","BF-15",2006,15.00,1336.00,855.33,36.02
"Bellfountain","BF-15",2007,15.00,1612.75,775.25,52.00
"Bellfountain","BF-15",2008,15.00,483.00,243.00,49.69
"Bellfountain","BF-15",2009,15.00,1855.25,1194.25,35.57
"Bellfountain","BF-17",2006,17.00,1367.66,1033.66,24.43
"Bellfountain","BF-17",2007,17.00,1620.00,573.75,64.56
"Bellfountain","BF-17",2008,17.00,486.00,202.00,58.47
"Bellfountain","BF-17",2009,17.00,1857.00,1248.75,32.63
"Bellfountain","BF-18",2006,18.00,1354.66,1136.33,16.00
"Bellfountain","BF-18",2007,18.00,1626.50,1072.25,34.11
"Bellfountain","BF-18",2008,18.00,494.25,368.00,25.60
"Bellfountain","BF-18",2009,18.00,1863.25,881.50,52.59
"Bellfountain","BF-20",2006,20.00,1384.33,1085.66,21.59
"Bellfountain","BF-20",2007,20.00,1613.25,1174.25,27.22
"Bellfountain","BF-20",2008,20.00,481.00,346.50,27.95
"Bellfountain","BF-20",2009,20.00,1863.75,1125.00,39.84
"Bellfountain","BF-23",2006,23.00,1395.66,1171.33,15.93
"Bellfountain","BF-23",2007,23.00,1631.00,1212.75,25.69
"Bellfountain","BF-23",2008,23.00,497.50,404.75,18.74
"Bellfountain","BF-23",2009,23.00,1875.50,1131.00,39.71
"Bellfountain","BF-24",2007,24.00,1642.00,1188.75,27.63
"Bellfountain","BF-24",2008,24.00,509.25,428.25,15.94
"Bellfountain","BF-24",2009,24.00,1876.25,1312.50,30.03
"Bellfountain","BF-26",2006,26.00,1401.00,1129.66,19.34
"Bellfountain","BF-26",2007,26.00,1634.50,977.75,39.99
"Bellfountain","BF-26",2008,26.00,502.00,348.00,31.25
"Bellfountain","BF-26",2009,26.00,1868.50,1271.75,31.99
"Bellfountain","BF-27",2006,27.00,1400.33,1180.66,15.71
"Bellfountain","BF-27",2007,27.00,1638.25,923.50,43.77
"Bellfountain","BF-27",2008,27.00,506.25,317.75,36.97
"Bellfountain","BF-27",2009,27.00,1884.50,1051.50,44.23
"Bellfountain","BF-3",2006,3.00,1366.66,883.00,35.64
"Bellfountain","BF-3",2007,3.00,1649.75,698.00,57.37
"Bellfountain","BF-3",2008,3.00,497.75,228.75,53.87
"Bellfountain","BF-3",2009,3.00,1774.00,832.00,52.89
"Bellfountain","BF-33",2006,33.00,1393.33,1127.66,19.09
"Bellfountain","BF-33",2007,33.00,1643.75,1042.75,36.58
"Bellfountain","BF-33",2008,33.00,482.50,366.25,24.02
"Bellfountain","BF-33",2009,33.00,1887.25,982.25,47.96
"Bellfountain","BF-34",2006,34.00,1475.66,1077.33,26.99
"Bellfountain","BF-34",2007,34.00,1629.25,773.00,52.52
"Bellfountain","BF-34",2008,34.00,503.75,383.25,23.98
"Bellfountain","BF-34",2009,34.00,1906.00,1026.50,46.16
"Bellfountain","BF-35",2006,35.00,1442.33,1090.66,24.36
"Bellfountain","BF-35",2007,35.00,1628.75,508.50,68.91
"Bellfountain","BF-35",2008,35.00,509.00,237.00,53.39
"Bellfountain","BF-35",2009,35.00,1911.50,1044.25,45.52
"Bellfountain","BF-37",2006,37.00,1432.66,1131.00,21.02
"Bellfountain","BF-37",2007,37.00,1640.75,1018.00,38.00
"Bellfountain","BF-37",2008,37.00,506.25,307.50,39.32
"Bellfountain","BF-37",2009,37.00,1919.25,1398.50,27.10
"Bellfountain","BF-40",2006,40.00,1429.00,1101.66,22.82
"Bellfountain","BF-40",2007,40.00,1638.25,989.00,39.60
"Bellfountain","BF-40",2008,40.00,512.00,337.50,33.96
"Bellfountain","BF-40",2009,40.00,1938.00,700.75,63.78
"Bellfountain","BF-44",2006,44.00,1321.33,973.33,26.54
"Bellfountain","BF-44",2007,44.00,1633.25,1006.75,38.59
"Bellfountain","BF-44",2008,44.00,502.00,356.75,29.05
"Bellfountain","BF-44",2009,44.00,1950.75,807.00,59.03
"Bellfountain","BF-6",2006,6.00,1389.00,1084.66,21.76
"Bellfountain","BF-6",2007,6.00,1616.00,1119.00,30.84
"Bellfountain","BF-6",2008,6.00,490.25,415.50,15.52
"Bellfountain","BF-6",2009,6.00,1794.50,911.25,49.37
"Bellfountain","BF-8",2006,8.00,1398.33,1050.00,24.91
"Bellfountain","BF-8",2007,8.00,1609.75,1090.50,32.27
"Bellfountain","BF-8",2008,8.00,481.00,326.75,32.08
