Site,Trt Unit,Treatment,Scarified,Species,Plant #,Leaves,Grazed,Notes,Leaves_2011,Grazed_2011,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,1,5,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,2,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,3,5,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,4,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,5,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,6,2,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,20,SM,n,ERDE,7,3,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,ERDE,1,4,n,,,,,,,,,,,,,,,,,,
Ft. Hoskins,30,SM,n,ERDE,2,4,n,,,,,,,,,,,,,,,,,,
Pigeon Butte,6,MBG,n,ERDE,1,,,,4,n,,,,,,,,,,,,,,,
Pigeon Butte,6,MBG,n,ERDE,2,,,,6,n,,,,,,,,,,,,,,,
Pigeon Butte,6,MBG,n,ERDE,3,,,,4,n,,,,,,,,,,,,,,,
Pigeon Butte,17,MBG,n,ERDE,1,4,n,,,,,,,,,,,,,,,,,,
Bellfountain,20,SBG,y,IRTE,1,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,IRTE,1,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,IRTE,2,,,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,IRTE,3,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,n,IRTE,4,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,5,,,,5,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,6,,,,2,y,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,7,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,8,,,,4,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,9,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,10,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,11,,,,5,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,12,,,,2,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,13,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,14,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,33,SBG,y,IRTE,15,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,6,,,,2,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,7,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,8,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,9,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,10,,,,2,n,,,,,,,,,,,,,,,
Ft. Hoskins,42,MM,n,IRTE,11,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,43,MBG,y,IRTE,1,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,43,MBG,y,IRTE,2,,,,3,n,,,,,,,,,,,,,,,
Ft. Hoskins,43,MBG,y,IRTE,3,,,,2,n,,,,,,,,,,,,,,,
