Site,trt unit,Side,Scarified,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,Vole,LD2011,LUOR2010,avleaves2010,LUOR2011,avleaves2011,MaxRecruit,New2011,Observed survival,Max survival,Obs.max diff
Bellfountain,3,L,No,Control,50,37,87,4.5,0.5,0,2.6,50,36.5,86.5,20,70,0,0,16.5,5.6,26,2.5,25,5.4,0.37,11,0.54,0.68,0.14
Bellfountain,6,R,No,SM,35,45.5,80.5,15,0,7.5,1,74,5,79,28.5,65,0,21.5,10,4,46,2.52,7,2.9,0.46,0,0.15,0.15,0
Bellfountain,8,L,No,MBG,72.5,20.5,93,8.5,0.5,1,2.9,74,23.5,97.5,25,85,0,5,19,4.9,21,1.67,5,3,0.21,0,0.24,0.24,0
Bellfountain,10,L,No,MBG,50.5,42,92.5,6.5,4,2.5,1,62,9.5,71.5,9,89,2,0,16,4.2,44,2.48,14,4.2,0.46,2,0.27,0.3,0.03
Bellfountain,12,R,No,MM,29.5,66.5,96,4.5,0,0,4.2,72.5,30,102.5,55,90,0,0,10.5,5.3,31,2.65,13,3.5,0.36,5,0.26,0.36,0.1
Bellfountain,13,R,No,SM,11.5,77.5,89,18,0.5,0,0.7,18.5,82.5,101,6,65,0,0,7,2.5,17,2.94,6,3.7,0.17,0,0.35,0.35,0
Bellfountain,15,L,No,SBG,3.5,81.5,85,7,2.5,12,0.4,4.5,53,57.5,20,10,5,29,3,0.4,16,2.81,2,3,0.18,2,0,0.11,0.11
Bellfountain,17,R,No,Control,60.5,29,89.5,10,2.5,0.5,4,70.5,21,91.5,17.5,77.5,0,0,15,3.6,41,2.34,20,3.9,0.45,4,0.39,0.44,0.05
Bellfountain,18,L,No,SM,4,70,74,29,4,0,0.5,26.5,46,72.5,10,35,0,11,4.5,2.5,21,2.05,5,2.2,0.21,0,0.24,0.24,0
Bellfountain,20,R,No,SBG,1.5,79.5,81,20,3,2.5,0.8,6,80,86,4.5,7,6.5,7,5.5,1,59,2.14,18,3.4,0.61,2,0.27,0.3,0.02
Bellfountain,23,L,No,SBG,0.5,73.5,74,8.5,3.5,22,0.9,6,39,45,12.5,0.5,8,42.5,0,0,23,2.7,3,1.7,0.23,0,0.13,0.13,0
Bellfountain,24,L,No,SM,6.5,86,92.5,16,4,0,1.2,5.5,66.5,72,12.5,22.5,0,29.5,0,0.3,12,2.67,1,5,0.12,0,0.08,0.08,0
Bellfountain,26,L,No,MBG,46.5,26.5,73,5.5,0,17.5,0.9,89.5,9,98.5,9,92.5,6,0,0,5.4,21,2.14,4,2.8,0.21,0,0.19,0.19,0
Bellfountain,27,L,No,Control,48.5,49,97.5,8.5,0,0,1.3,22.5,26,48.5,14.5,70,0,8.5,1.5,3,25,2.88,7,4,0.25,0,0.28,0.28,0
Bellfountain,33,R,No,MM,58.5,22,80.5,31.5,0,0,6.4,38,22.5,60.5,10,91.5,0,7.5,3.5,9,36,2.39,19,3.4,0.41,5,0.39,0.46,0.07
Bellfountain,34,R,No,MM,62.5,30.5,93,10.5,0,0,2.9,53,45,98,65,60,0,0,14.5,5.4,26,3,15,7.2,0.29,3,0.46,0.52,0.06
Bellfountain,35,R,No,Control,12.5,81.5,94,6,0,0,3.7,3,91.5,94.5,16,8,2,1.5,4.5,1.6,49,2.8,30,6.4,0.53,4,0.53,0.57,0.04
Bellfountain,37,L,No,MBG,18,77.5,95.5,1.5,3.5,0,1.3,82.5,14.5,97,10,90.5,0,0,5,4.5,20,2.65,7,3.4,0.2,0,0.35,0.35,0
Bellfountain,40,L,No,MM,75.5,28,103.5,5,0,0,3.8,59.5,23.5,83,10,72.5,2.5,11,7,5.8,19,2.21,10,4.8,0.22,3,0.37,0.45,0.09
Bellfountain,44,L,No,SBG,1.5,91,92.5,14.5,0,0,0.7,6.5,54,60.5,67.5,3,6,2.5,3,1.2,14,2.29,11,8.1,0.17,3,0.57,0.65,0.08
Bellfountain,3,R,Yes,Control,67,26,93,4,0,0,2.8,65.5,22,87.5,17.5,80,0,2,12.5,6.8,1,2,0,0,0.01,0,0,0,0
Bellfountain,6,L,Yes,SM,33.5,43.5,77,16.5,0.5,5,1.7,85.5,8,93.5,15,85,2,12.5,11,5.3,19,3,4,4,0.19,0,0.21,0.21,0
Bellfountain,8,R,Yes,MBG,52,55.5,107.5,22.5,2.5,0,1.6,42,11.5,53.5,0,47.5,4.5,26.5,2.5,0.5,47,2.09,6,6,0.47,0,0.13,0.13,0
Bellfountain,10,R,Yes,MBG,30,60,90,5,4,2,1.7,66.5,13,79.5,2.5,83,0,0,18,4.2,15,0,4,0,0.16,1,0.2,0.25,0.05
Bellfountain,12,L,Yes,MM,59,42,101,10,2,0,3.7,67.5,22,89.5,22.5,75,0,0,2,2.9,2,2.17,1,2.9,0.02,0,0.5,0.5,0
Bellfountain,13,L,Yes,SM,41.5,51.5,93,15.5,1,0.5,1,17.5,58.5,76,11,40,2,10,6.5,3.6,6,2.91,2,4.5,0.06,0,0.33,0.33,0
Bellfountain,15,R,Yes,SBG,11,79,90,9,1.5,1.5,1,14,71.5,85.5,11,50,4.5,8.5,2.5,3.5,3,2.21,0,0,0.03,0,0,0,0
Bellfountain,17,L,Yes,Control,57.5,31.5,89,6.5,0.5,7.5,0.6,70.5,11.5,82,7.5,77.5,0,17.5,7.5,4.5,17,2.54,3,6.6,0.17,0,0.18,0.18,0
Bellfountain,18,R,Yes,SM,5.5,57.5,63,40.5,0,0.5,0.6,21.5,33.5,55,8.5,23,1.5,32,9,1.2,5,1.8,0,6,0.05,0,0,0,0
Bellfountain,20,L,Yes,SBG,4.5,66,70.5,13.5,1,16.5,0.3,17.5,56.5,74,9,7.5,7,11.5,14.5,1.3,31,3.26,9,0,0.32,1,0.26,0.28,0.02
Bellfountain,23,R,Yes,SBG,1.5,51,52.5,4,2.5,41,1,3,45.5,48.5,6,2,5.5,39,0,0,3,3.02,0,6.8,0.03,0,0,0,0
Bellfountain,24,R,Yes,SM,9,76,85,20.5,0.5,0,1.2,11,81.5,92.5,23.5,6,0,3.5,1.5,1.8,3,3.22,2,7.3,0.03,0,0.67,0.67,0
Bellfountain,26,R,Yes,MBG,52.5,23.5,76,23.5,0,0,0.7,91.5,11,102.5,6,96.5,0,0,2.5,5.8,3,3,1,0,0.03,0,0.33,0.33,0
Bellfountain,27,R,Yes,Control,46.5,49,95.5,0.5,0.5,0,2.7,38.5,29.5,68,17.5,77.5,0,13.5,11,5,12,3.23,2,13,0.12,0,0.17,0.17,0
Bellfountain,33,L,Yes,MM,46.5,43.5,90,22.5,0,0,3.7,34,35.5,69.5,20.5,67.5,0,15.5,2,3.5,26,2.93,17,0,0.35,9,0.31,0.49,0.18
Bellfountain,34,L,Yes,MM,73,28,101,5,0,0,3.8,58,30,88,65,70,0,0,12,4,2,3.02,1,5,0.02,0,0.5,0.5,0
Bellfountain,35,L,Yes,Control,6.5,89,95.5,4.5,0,0,1.2,1.5,85,86.5,9.5,1.5,1.5,10,3.5,0.9,31,2.46,23,6,0.33,2,0.68,0.7,0.02
Bellfountain,37,R,Yes,MBG,20,69,89,9,0,0,1.8,87.5,13,100.5,6.5,87.5,2,0,5,6,2,3.03,0,4.5,0.02,0,0,0,0
Bellfountain,40,R,Yes,MM,85,14,99,1.5,0,0,3.7,80.5,9.5,90,20,87.5,0,5,11,5.8,8,3.35,6,4.6,0.09,1,0.63,0.67,0.04
Bellfountain,44,R,Yes,SBG,0.5,94,94.5,12,1.5,0,0.9,8.5,58,66.5,55,8.5,3.5,1.5,0,1,1,3.07,3,3,0.03,2,1,1,0
Ft. Hoskins,2,R,No,MM,12.5,36,48.5,96.5,0,1,1.4,14,28,42,92.5,8,0,3.5,0,3.9,2,3.3,0,5.6,0.02,0,0,0,0
Ft. Hoskins,6,R,No,SM,20.5,72.5,93,5,4,0,1.5,45,28.5,73.5,1.5,36,6.5,1.5,0,2.7,5,2.81,1,3.2,0.05,0,0.2,0.2,0
