Site,trt unit,Grass,Forb,Moss,Litter,Bare,Disturbed,Vole,Holes,LD 1 ,LD 2 ,AvLD,Present,leaves,FloweriNog
Bellfountain,3,60,30,0,95,0,5,8,,11,23,17,no,0,No
Bellfountain,6,40,40,5,50,0,20,10,,2.5,0,1.25,yes,6,No
Bellfountain,8,82,7,0,95,0,0,6,,5.5,6,5.75,no,0,No
Bellfountain,10,40,23,40,45,5,0,4,,3,4.5,3.75,yes,7,No
Bellfountain,12,44,25,24,90,0,10,9,,5,6,5.5,no,0,No
Bellfountain,13,68,30,20,90,5,0,0,,7,5.5,6.25,no,0,No
Bellfountain,15,65,7,40,30,0,30,6,,0,2.5,1.25,no,0,No
Bellfountain,17,75,10,30,90,0,0,9,,5.5,5.5,5.5,no,0,No
Bellfountain,18,55,12,0,60,8,7,8,,4.5,3.5,4,yes,3,No
Bellfountain,20,13,60,6,14,0,22,8,,2.5,4.5,3.5,no,0,No
Bellfountain,23,44,30,10,70,4,0,5,,5,4.5,4.75,yes,3,No
Bellfountain,24,23,70,15,30,0,0,0,,5,2.5,3.75,no,0,No
Bellfountain,26,68,6,8,40,0,25,13,,1,5,3,no,0,No
Bellfountain,27,85,3,15,90,0,0,10,,7.5,3.5,5.5,no,0,No
Bellfountain,33,12,18,15,60,0,0,11,,9.5,5.5,7.5,yes,244,Yes
Bellfountain,34,30,22,75,63,0,0,7,,4,2,3,yes,113,Yes
Bellfountain,35,90,10,5,98,0,0,10,,15.5,20,17.75,no,0,No
Bellfountain,37,85,23,45,70,0,0,8,,5,6,5.5,no,0,No
Bellfountain,40,67,5,20,80,0,23,6,,14,0,7,yes,21,No
Bellfountain,44,25,65,60,60,0,0,2,,4,8.5,6.25,yes,81,Yes
Ft. Hoskins,2,5,12,98,4,0,2,0,0,0,3,1.5,no,0,No
Ft. Hoskins,6,63,32,15,15,0,0,0,0,1.5,6.5,4,no,0,No
Ft. Hoskins,9,1,70,65,5,0,0,0,0,2.5,1.5,2,yes,19,No
Ft. Hoskins,11,55,40,13,70,0,0,0,0,4,5,4.5,no,0,No
Ft. Hoskins,16,18,26,1,10,25,0,0,0,3.5,2.58,3.04,no,0,No
Ft. Hoskins,20,3,88,5,1,10,2,0,0,0,1.5,0.75,yes,9,No
Ft. Hoskins,21,20,37,21,7,15,6,0,1,1.5,2,1.75,yes,9,No
Ft. Hoskins,25,45,30,5,50,3,0,12,1,7.5,4,5.75,yes,79,Yes
Ft. Hoskins,30,25,40,0,15,15,5,0,1,3,4,3.5,yes,20,Yes
Ft. Hoskins,32,15,40,0,20,30,5,5,1,0,3,1.5,no,0,No
Ft. Hoskins,33,15,35,5,12,5,0,2,0,3,3,3,yes,23,No
Ft. Hoskins,37,52,20,0,80,3,0,5,0,2.5,3,2.8,yes,4,No
Ft. Hoskins,38,4,80,3,20,7,2,9,1,5,3.54,4.27,yes,14,No
Ft. Hoskins,39,12,70,9,5,0,0,0,0,1.5,1,1.25,yes,94,Yes
Ft. Hoskins,40,40,60,0,30,3,5,0,0,4,2.5,3.25,no,0,No
Ft. Hoskins,42,30,20,5,10,35,20,0,0,0,3.5,1.75,yes,12,No
Ft. Hoskins,43,25,50,0,20,10,3,10,0,3,4,3.5,yes,18,No
Ft. Hoskins,44,7,20,80,40,0,0,0,0,2,2.5,2.25,yes,3,No
Ft. Hoskins,49,70,25,0,60,2,5,0,0,3,2,2.5,no,0,No
Ft. Hoskins,50,40,55,80,10,5,2,6,1,3,2.5,2.75,no,0,No
