Site,trt unit,Treatment,LUOR.ns.2010,LUOR.s.2010,noestab.ns,noestab.s,odds,log(odds),LUOR.ns.2011,LUOR.s.2011,die.ns.2011,die.s.2011,odds.survive,log(odds.survive),G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010
Bellfountain,3,Control,26,1,74,99,0.028749029,-1.541376823,25,0,1,1,0,#NUM!,58.5,31.5,90,4.25,0.25,0,2.7
Bellfountain,6,Poast+Mow,46,19,54,81,0.275362319,-0.56009549,7,4,39,15,1.485714286,0.171935299,34.25,44.5,78.75,15.75,0.25,6.25,1.35
Bellfountain,8,Mow+Burn,21,47,79,53,3.336028751,0.523229785,5,6,16,41,0.468292683,-0.329482628,62.25,38,100.25,15.5,1.5,0.5,2.25
Bellfountain,10,Mow+Burn,44,15,56,85,0.22459893,-0.648592316,14,4,30,11,0.779220779,-0.108339475,40.25,51,91.25,5.75,4,2.25,1.35
Bellfountain,12,Mow+Mow,31,2,69,98,0.045424621,-1.342708683,13,1,18,1,1.384615385,0.141329153,44.25,54.25,98.5,7.25,1,0,3.95
Bellfountain,13,Poast+Mow,17,6,83,94,0.311639549,-0.506347432,6,2,11,4,0.916666667,-0.037788561,26.5,64.5,91,16.75,0.75,0.25,0.85
Bellfountain,15,Poast+Burn,16,3,84,97,0.162371134,-0.789491176,2,0,14,3,0,#NUM!,7.25,80.25,87.5,8,2,6.75,0.7
Bellfountain,17,Control,41,17,59,83,0.294739935,-0.530561016,20,3,21,14,0.225,-0.647817482,59,30.25,89.25,8.25,1.5,4,2.3
Bellfountain,18,Poast+Mow,21,5,79,95,0.197994987,-0.703345804,5,0,16,5,0,#NUM!,4.75,63.75,68.5,34.75,2,0.25,0.55
Bellfountain,20,Poast+Burn,59,31,41,69,0.312208303,-0.505555552,18,9,41,22,0.931818182,-0.03066882,3,72.75,75.75,16.75,2,9.5,0.55
Bellfountain,23,Poast+Burn,23,3,77,97,0.103541013,-0.98488759,3,0,20,3,0,#NUM!,1,62.25,63.25,6.25,3,31.5,0.95
