
ModelNum VarNum Response Predictors    xR²      N*   Present      NaiveEst       xSSE         SST
       2      1 warm              1  1.000     27.00      56        2.0000     0.10840E-32  224.00    
       4      1 warm              1  1.000     27.00      56        2.0000     0.33042E-08  224.00    
       6      1 warm              1  1.000     27.14      56        2.0000     0.35717E-02  224.00    
       8      1 warm              1  0.998     28.64      56        2.0000     0.42554      224.00    
      10      1 warm              1  0.985     32.06      56        2.0000      3.4246      224.00    
      12      1 warm              1  0.955     36.38      56        2.0000      9.9875      224.00    
      14      1 warm              1  0.914     40.77      56        2.0000      19.339      224.00    
      16      1 warm              1  0.861     44.91      56        2.0000      31.036      224.00    
      18      1 warm              1  0.801     48.72      56        2.0000      44.597      224.00    
      20      1 warm              1  0.736     52.17      56        2.0000      59.212      224.00    
      22      1 warm              1  0.670     55.27      56        2.0000      73.998      224.00    
      24      1 warm              1  0.606     58.04      56        2.0000      88.256      224.00    
      26      1 warm              1  0.547     60.49      56        2.0000      101.55      224.00    
      28      1 warm              1  0.492     62.66      56        2.0000      113.68      224.00    
      30      1 warm              1  0.444     64.57      56        2.0000      124.59      224.00    
      32      1 warm              1  0.400     66.26      56        2.0000      134.32      224.00    
      34      1 warm              1 -0.189     11.08      56        2.0000      266.26      224.00    
      41      1 warm              2  0.935      4.38      56        2.0000      14.662      224.00    
      43      1 warm              2  0.878      5.01      56        2.0000      27.311      224.00    
      45      1 warm              2  0.810      5.60      56        2.0000      42.460      224.00    
      47      1 warm              2  0.735      6.15      56        2.0000      59.449      224.00    
      49      1 warm              2  0.655      6.65      56        2.0000      77.273      224.00    
      51      1 warm              2  0.576      7.09      56        2.0000      94.909      224.00    
      53      1 warm              2  0.502      7.49      56        2.0000      111.60      224.00    
      55      1 warm              2  0.433      7.84      56        2.0000      126.94      224.00    
      57      1 warm              2  0.372      8.15      56        2.0000      140.75      224.00    
      59      1 warm              2  0.317      8.43      56        2.0000      153.04      224.00    
      61      1 warm              2  0.268      8.67      56        2.0000      163.91      224.00    
      63      1 warm              1 -0.128     16.20      56        2.0000      252.75      224.00    
      65      1 warm              2  1.000      4.73      56        2.0000     0.36425E-31  224.00    
      67      1 warm              2  1.000      4.73      56        2.0000     0.45400E-08  224.00    
      69      1 warm              2  1.000      4.76      56        2.0000     0.48856E-02  224.00    
      71      1 warm              2  0.997      5.07      56        2.0000     0.57429      224.00    
      73      1 warm              2  0.980      5.77      56        2.0000      4.4992      224.00    
      75      1 warm              2  0.943      6.65      56        2.0000      12.758      224.00    
      77      1 warm              2  0.892      7.55      56        2.0000      24.118      224.00    
      79      1 warm              2  0.831      8.40      56        2.0000      37.947      224.00    
      81      1 warm              2  0.760      9.18      56        2.0000      53.649      224.00    
      83      1 warm              2  0.686      9.88      56        2.0000      70.286      224.00    
      85      1 warm              2  0.612     10.52      56        2.0000      86.881      224.00    
      87      1 warm              2  0.542     11.09      56        2.0000      102.70      224.00    
      89      1 warm              2  0.476     11.59      56        2.0000      117.31      224.00    
      91      1 warm              2  0.417     12.03      56        2.0000      130.52      224.00    
      93      1 warm              2  0.365     12.42      56        2.0000      142.33      224.00    
      95      1 warm              2  0.318     12.77      56        2.0000      152.80      224.00    
      97      1 warm              1 -0.089     23.60      56        2.0000      243.83      224.00    
      99      1 warm              2  1.000      7.20      56        2.0000     0.16545E-31  224.00    
     101      1 warm              2  1.000      7.20      56        2.0000     0.40798E-08  224.00    
     103      1 warm              2  1.000      7.24      56        2.0000     0.43340E-02  224.00    
     105      1 warm              2  0.998      7.68      56        2.0000     0.51220      224.00    
     107      1 warm              2  0.982      8.68      56        2.0000      4.0557      224.00    
     109      1 warm              2  0.948      9.95      56        2.0000      11.628      224.00    
     111      1 warm              2  0.901     11.23      56        2.0000      22.188      224.00    
     113      1 warm              2  0.843     12.45      56        2.0000      35.180      224.00    
     115      1 warm              2  0.777     13.56      56        2.0000      50.050      224.00    
     117      1 warm              2  0.706     14.57      56        2.0000      65.908      224.00    
     119      1 warm              2  0.635     15.48      56        2.0000      81.812      224.00    
     121      1 warm              2  0.567     16.29      56        2.0000      97.038      224.00    
     123      1 warm              2  0.504     17.01      56        2.0000      111.15      224.00    
     125      1 warm              2  0.447     17.64      56        2.0000      123.96      224.00    
     127      1 warm              2  0.395     18.20      56        2.0000      135.43      224.00    
     129      1 warm              2  0.350     18.70      56        2.0000      145.63      224.00    
     131      1 warm              1 -0.069     30.45      56        2.0000      239.42      224.00    
