ModelNum    warm        cold    
       2      0.2000      1.0000
       4      0.4000      1.0000
       6      0.6000      1.0000
       8      0.8000      1.0000
      10      1.0000      1.0000
      12      1.2000      1.0000
      14      1.4000      1.0000
      16      1.6000      1.0000
      18      1.8000      1.0000
      20      2.0000      1.0000
      22      2.2000      1.0000
      24      2.4000      1.0000
      26      2.6000      1.0000
      28      2.8000      1.0000
      30      3.0000      1.0000
      32      3.2000      1.0000
      34      1.0000      0.6000
      41      1.2000      0.6000
      43      1.4000      0.6000
      45      1.6000      0.6000
      47      1.8000      0.6000
      49      2.0000      0.6000
      51      2.2000      0.6000
      53      2.4000      0.6000
      55      2.6000      0.6000
      57      2.8000      0.6000
      59      3.0000      0.6000
      61      3.2000      0.6000
      63      1.0000      1.2000
      65      0.2000      1.2000
      67      0.4000      1.2000
      69      0.6000      1.2000
      71      0.8000      1.2000
      73      1.0000      1.2000
      75      1.2000      1.2000
      77      1.4000      1.2000
      79      1.6000      1.2000
      81      1.8000      1.2000
      83      2.0000      1.2000
      85      2.2000      1.2000
      87      2.4000      1.2000
      89      2.6000      1.2000
      91      2.8000      1.2000
      93      3.0000      1.2000
      95      3.2000      1.2000
      97      1.0000      1.8000
      99      0.2000      1.8000
     101      0.4000      1.8000
     103      0.6000      1.8000
     105      0.8000      1.8000
     107      1.0000      1.8000
     109      1.2000      1.8000
     111      1.4000      1.8000
     113      1.6000      1.8000
     115      1.8000      1.8000
     117      2.0000      1.8000
     119      2.2000      1.8000
     121      2.4000      1.8000
     123      2.6000      1.8000
     125      2.8000      1.8000
     127      3.0000      1.8000
     129      3.2000      1.8000
     131      1.0000      2.4000
     133      0.2000      2.4000
     135      0.4000      2.4000
     137      0.6000      2.4000
     139      0.8000      2.4000
     141      1.0000      2.4000
     143      1.2000      2.4000
     145      1.4000      2.4000
     147      1.6000      2.4000
     149      1.8000      2.4000
     151      2.0000      2.4000
     153      2.2000      2.4000
     155      2.4000      2.4000
     157      2.6000      2.4000
     159      2.8000      2.4000
     161      3.0000      2.4000
     163      3.2000      2.4000
     165      1.0000      3.0000
     167      0.2000      3.0000
     169      0.4000      3.0000
     171      0.6000      3.0000
     173      0.8000      3.0000
     175      1.0000      3.0000
     177      1.2000      3.0000
     179      1.4000      3.0000
     181      1.6000      3.0000
     183      1.8000      3.0000
     185      2.0000      3.0000
     187      2.2000      3.0000
     189      2.4000      3.0000
     191      2.6000      3.0000
     193      2.8000      3.0000
     195      3.0000      3.0000
     197      3.2000      3.0000
     199      1.0000      3.6000
     201      0.2000      3.6000
     203      0.4000      3.6000
     205      0.6000      3.6000
     207      0.8000      3.6000
     209      1.0000      3.6000
     211      1.2000      3.6000
     213      1.4000      3.6000
     215      1.6000      3.6000
     217      1.8000      3.6000
     219      2.0000      3.6000
     221      2.2000      3.6000
     223      2.4000      3.6000
     225      2.6000      3.6000
     227      2.8000      3.6000
     229      3.0000      3.6000
     231      3.2000      3.6000
     233      1.0000      4.2000
     235      0.2000      4.2000
     237      0.4000      4.2000
     239      0.6000      4.2000
     241      0.8000      4.2000
     243      1.0000      4.2000
     245      1.2000      4.2000
     247      1.4000      4.2000
     249      1.6000      4.2000
     251      1.8000      4.2000
     253      2.0000      4.2000
     255      2.2000      4.2000
     257      2.4000      4.2000
     259      2.6000      4.2000
     261      2.8000      4.2000
     263      3.0000      4.2000
     265      3.2000      4.2000
     267      1.0000      4.8000
     269      0.2000      4.8000
     271      0.4000      4.8000
     273      0.6000      4.8000
     275      0.8000      4.8000
     277      1.0000      4.8000
     279      1.2000      4.8000
     281      1.4000      4.8000
     283      1.6000      4.8000
     285      1.8000      4.8000
     287      2.0000      4.8000
     289      2.2000      4.8000
     291      2.4000      4.8000
     293      2.6000      4.8000
     295      2.8000      4.8000
     297      3.0000      4.8000
     299      3.2000      4.8000
     301      1.0000      5.4000
     303      0.2000      5.4000
     305      0.4000      5.4000
     307      0.6000      5.4000
     309      0.8000      5.4000
     311      1.0000      5.4000
     313      1.2000      5.4000
     315      1.4000      5.4000
     317      1.6000      5.4000
     319      1.8000      5.4000
     321      2.0000      5.4000
     323      2.2000      5.4000
     325      2.4000      5.4000
     327      2.6000      5.4000
     329      2.8000      5.4000
     331      3.0000      5.4000
     333      3.2000      5.4000
     335      1.0000      6.0000
     337      0.2000      6.0000
     339      0.4000      6.0000
     341      0.6000      6.0000
