Site,trt unit,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,B2011,D2011,LD2011,L2011,Vole,CALE2010,survival2010,CALE2011,survival2011,persistence2011,AVstemlenth,Avlongstem,Flowers
Bellfountain,3,Control,58.5,31.5,90,4.25,0.25,0,2.7,58.125,30.375,88.5,11.5,0.125,0.5,4.45,75,14.5,3,0.6,3,0.6,1,21.8,6.1,0
Bellfountain,6,SM,34.25,44.5,78.75,15.75,0.25,6.25,1.35,57,25.5,82.5,18.75,0.625,11.625,3,75,10.5,5,1,3,0.6,0.6,14.8,5.2,1
Bellfountain,8,MBG,62.25,38,100.25,15.5,1.5,0.5,2.25,60.125,27.75,87.875,14,1.875,8.125,2.475,66.25,10.75,4,0.8,3,0.6,0.75,11.8,4,1
Bellfountain,10,MBG,40.25,51,91.25,5.75,4,2.25,1.35,52.25,31.125,83.375,5.75,2.5,1.125,2.775,86,17,5,1,3,0.6,0.6,16,7,1
Bellfountain,12,MM,44.25,54.25,98.5,7.25,1,0,3.95,57.125,40.125,97.25,23,0.5,0,4.025,82.5,6.25,5,1,5,1,1,38,9.6,1
Bellfountain,13,SM,26.5,64.5,91,16.75,0.75,0.25,0.85,22.25,67.5,89.75,12.625,0.875,2.625,1.95,52.5,6.75,4,0.8,3,0.6,0.75,16.6,5.3,1
Bellfountain,15,SBG,7.25,80.25,87.5,8,2,6.75,0.7,8.25,71.25,79.5,11.75,3.375,12.75,1.325,30,2.75,5,1,1,0.2,0.2,6.6,2.8,1
Bellfountain,17,Control,59,30.25,89.25,8.25,1.5,4,2.3,64.75,23.25,88,10.375,0.75,6.375,3.175,77.5,11.25,4,0.8,3,0.6,0.75,22.4,5,0
Bellfountain,18,SM,4.75,63.75,68.5,34.75,2,0.25,0.55,14.375,51.75,66.125,22,1.375,10.875,1.2,29,6.75,5,1,2,0.4,0.4,6.4,3.2,0
Bellfountain,20,SBG,3,72.75,75.75,16.75,2,9.5,0.55,7.375,70.5,77.875,11.75,4.375,9.375,0.85,7.25,10,5,1,3,0.6,0.6,14.2,3.8,1
Bellfountain,23,SBG,1,62.25,63.25,6.25,3,31.5,0.95,2.75,52.25,55,7.75,4.875,36.125,0.475,1.25,0,5,1,3,0.6,0.6,34,7.4,1
Bellfountain,24,SM,7.75,81,88.75,18.25,2.25,0,1.2,8,77.5,85.5,18.125,1.125,8.25,1.125,14.25,0.75,4,0.8,4,0.8,1,23.5,9.2,2
Bellfountain,26,MBG,49.5,25,74.5,14.5,0,8.75,0.8,70,17.5,87.5,11,1.5,4.375,3.2,94.5,1.25,5,1,5,1,1,13.8,10.2,1
Bellfountain,27,Control,47.5,49,96.5,4.5,0.25,0,2,39,38.375,77.375,10.25,0.125,5.5,3,73.75,6.25,5,1,5,1,1,39.4,11.6,1
Bellfountain,33,MM,52.5,32.75,85.25,27,0,0,5.05,44.25,30.875,75.125,21.125,0,5.75,5.65,79.5,2.75,5,1,5,1,1,43.1,10.9,0
Bellfountain,34,MM,67.75,29.25,97,7.75,0,0,3.35,61.625,33.375,95,36.375,0,0,4.025,65,13.25,4,0.8,4,0.8,1,20.2,8,3
Bellfountain,35,Control,9.5,85.25,94.75,5.25,0,0,2.45,5.875,86.75,92.625,9,0.875,2.875,1.85,4.75,4,5,1,4,0.8,0.8,15.8,7.8,0
Bellfountain,37,MBG,19,73.25,92.25,5.25,1.75,0,1.55,52,43.5,95.5,6.75,1.375,0,3.4,89,5,5,1,4,0.8,0.8,11.4,7.2,0
Bellfountain,40,MM,80.25,21,101.25,3.25,0,0,3.75,75.125,18.75,93.875,9.125,0.625,4,4.775,80,9,5,1,5,1,1,21.6,9.4,0
Bellfountain,44,SBG,1,92.5,93.5,13.25,0.75,0,0.8,4.25,74.25,78.5,37.25,2.75,1,0.95,5.75,1.5,5,1,5,1,1,35.4,13.6,1
