treatment,warm,cold,percentgerm
0_0,0,0,0
0_0,0,0,0
0_0,0,0,0
0_0,0,0,0
0_2,0,2,0
0_2,0,2,0
0_2,0,2,0
0_2,0,2,0
0_4,0,4,0
0_4,0,4,0
0_4,0,4,0
0_4,0,4,0
0_6,0,6,0
0_6,0,6,0
0_6,0,6,0
0_6,0,6,0
0_8,0,8,2
0_8,0,8,0
0_8,0,8,0
0_8,0,8,0
0_10,0,10,0
0_10,0,10,0
0_10,0,10,0
0_10,0,10,2
0_12,0,12,0
0_12,0,12,0
0_12,0,12,0
0_12,0,12,0
2_0,2,0,0
2_0,2,0,0
2_0,2,0,0
2_0,2,0,0
2_2,2,2,0
2_2,2,2,0
2_2,2,2,0
2_2,2,2,0
2_4,2,4,6
2_4,2,4,8
2_4,2,4,16
2_4,2,4,6
2_6,2,6,42
2_6,2,6,44
2_6,2,6,28
2_6,2,6,46
2_8,2,8,40
2_8,2,8,46
2_8,2,8,48
2_8,2,8,44
2_10,2,10,46
2_10,2,10,50
2_10,2,10,46
2_10,2,10,44
2_12,2,12,42
2_12,2,12,56
2_12,2,12,40
2_12,2,12,60
4_0,4,0,0
4_0,4,0,0
4_0,4,0,0
4_0,4,0,0
4_2,4,2,0
4_2,4,2,0
4_2,4,2,0
4_2,4,2,0
4_4,4,4,20
4_4,4,4,26
4_4,4,4,26
4_4,4,4,28
4_6,4,6,66
4_6,4,6,62
4_6,4,6,42
4_6,4,6,38
4_8,4,8,72
4_8,4,8,52
4_8,4,8,68
4_8,4,8,60
4_10,4,10,60
4_10,4,10,66
4_10,4,10,70
4_10,4,10,54
4_12,4,12,48
4_12,4,12,48
4_12,4,12,56
4_12,4,12,46
