Plot #,Source,Germ tot,numseeds,propgerm
2,Green S,13,30,0.433333333
4,Green S,24,30,0.8
5,Green S,13,30,0.433333333
7,Green S,13,30,0.433333333
9,Green S,15,30,0.5
10,Green S,19,30,0.633333333
11,Green S,12,30,0.4
12,Green S,10,30,0.333333333
13,Green S,8,30,0.266666667
17,Green S,9,30,0.3
18,Green S,6,30,0.2
20,Green US,4,30,0.133333333
21,Green US,13,30,0.433333333
24,Green US,8,30,0.266666667
25,Green US,9,30,0.3
28,Green US,9,30,0.3
29,Green US,17,30,0.566666667
30,Green US,14,30,0.466666667
