Site,trt unit,Max.survival,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,V2011,LD2011
Bellfountain,3,0.34,57.75,29.25,87,18.75,75,0,1,14.5,6.2
Bellfountain,6,0.18,79.75,6.5,86.25,21.75,75,1,17,10.5,4.65
Bellfountain,8,0.18,58,17.5,75.5,12.5,66.25,2.25,15.75,10.75,2.7
Bellfountain,10,0.28,64.25,11.25,75.5,5.75,86,1,0,17,4.2
Bellfountain,12,0.43,70,26,96,38.75,82.5,0,0,6.25,4.1
Bellfountain,13,0.34,18,70.5,88.5,8.5,52.5,1,5,6.75,3.05
Bellfountain,15,0.06,9.25,62.25,71.5,15.5,30,4.75,18.75,2.75,1.95
Bellfountain,17,0.31,70.5,16.25,86.75,12.5,77.5,0,8.75,11.25,4.05
Bellfountain,18,0.12,24,39.75,63.75,9.25,29,0.75,21.5,6.75,1.85
Bellfountain,20,0.29,11.75,68.25,80,6.75,7.25,6.75,9.25,10,1.15
Bellfountain,23,0.07,4.5,42.25,46.75,9.25,1.25,6.75,40.75,0,0
Bellfountain,24,0.38,8.25,74,82.25,18,14.25,0,16.5,0.75,1.05
Bellfountain,26,0.26,90.5,10,100.5,7.5,94.5,3,0,1.25,5.6
Bellfountain,27,0.22,30.5,27.75,58.25,16,73.75,0,11,6.25,4
Bellfountain,33,0.47,36,29,65,15.25,79.5,0,11.5,2.75,6.25
Bellfountain,34,0.51,55.5,37.5,93,65,65,0,0,13.25,4.7
Bellfountain,35,0.63,2.25,88.25,90.5,12.75,4.75,1.75,5.75,4,1.25
Bellfountain,37,0.18,85,13.75,98.75,8.25,89,1,0,5,5.25
Bellfountain,40,0.56,70,16.5,86.5,15,80,1.25,8,9,5.8
Bellfountain,44,0.82,7.5,56,63.5,61.25,5.75,4.75,2,1.5,1.1
Ft. Hoskins,2,0,13.75,32.75,46.5,93.25,8.5,0.5,1.75,0,3.15
Ft. Hoskins,6,0.43,30,27.75,57.75,1.75,21.75,8,3.5,0,5.3
Ft. Hoskins,9,0.24,15.75,53,68.75,6.5,33.25,5.5,1.75,0.75,2.95
Ft. Hoskins,11,0,15.75,87.5,103.25,16.5,3.5,0,0,0,0.25
Ft. Hoskins,16,0.19,22.5,48.25,70.75,0,63.75,2.75,0.5,0.75,2.8
Ft. Hoskins,20,0.19,9.25,87.5,96.75,7.75,4.5,8,5,0,1
Ft. Hoskins,21,0,18.75,57,75.75,3.25,11.75,15.25,6.5,1.25,1.65
Ft. Hoskins,25,0.4,40,40.5,80.5,1,36.5,8.5,0.75,1,2.7
Ft. Hoskins,30,0.13,35,64,99,0,61.25,0.75,0.75,1.75,3.05
Ft. Hoskins,32,0,30.5,46.75,77.25,3.5,21.25,4.25,0,5,3.3
Ft. Hoskins,33,0.06,22,45.75,67.75,0.5,17.25,12.5,1.25,5.75,2.5
Ft. Hoskins,37,0.23,16.75,63,79.75,18.25,28.75,1.25,0,3.5,4.3
Ft. Hoskins,38,0.06,20.5,51.25,71.75,5,40,6,2.75,9,3.4
Ft. Hoskins,39,0.04,16.5,78.75,95.25,3,22.5,3,0.75,0,2.3
Ft. Hoskins,40,0.03,29.25,61.25,90.5,0,27.5,6.75,0,2,3.2
Ft. Hoskins,42,0.01,73,19.5,92.5,14,53.25,4.5,2.5,1.75,3.65
Ft. Hoskins,43,0.07,43.75,50,93.75,0.5,52.5,1,0,0.75,4.35
Ft. Hoskins,44,0.05,21,37.25,58.25,49.5,18,2.5,1.5,1,1.8
Ft. Hoskins,49,0.28,24,58.25,82.25,0.5,41.75,4.5,4.25,3.25,2.75
Ft. Hoskins,50,0.14,59.25,30.5,89.75,1.5,43.75,7,2.5,3.5,4.55
Pigeon Butte,2,0.27,1.5,77.5,79,1.5,1.5,6.5,17.25,0,0.3
Pigeon Butte,3,0.46,8.75,74.75,83.5,8.25,5,3,3.75,6.25,1.6
Pigeon Butte,5,0.56,4.25,91,95.25,4.75,11.75,0,0,0.5,1.85
Pigeon Butte,6,0.31,2.5,67.5,70,1.75,0.5,4.75,17,5.25,0.5
Pigeon Butte,9,0.44,36.25,33,69.25,9.25,57.5,2,7,2.75,3.2
Pigeon Butte,12,0.31,9,81.75,90.75,46.75,9.75,2.25,1.5,0,1.3
Pigeon Butte,17,0.03,1.5,70,71.5,0.75,3.75,5.25,21.5,7.75,0.55
Pigeon Butte,18,0.14,4.25,82.75,87,3,7,5,11,0.75,1.05
Pigeon Butte,24,0.53,6.25,90.5,96.75,0,8.25,2.75,0.25,3.25,1.5
Pigeon Butte,26,0.13,22.5,68.25,90.75,2.25,47,1.25,4.25,0,3.183333333
Pigeon Butte,27,0.53,4.25,72.25,76.5,1.25,7.5,4.75,18.5,5.5,1.05
Pigeon Butte,28,0.1,3,83,86,6,9.5,7.5,8.25,5.25,1.15
Pigeon Butte,32,0.45,19.5,70.5,90,14.75,25.75,1,5.75,3.5,2.15
Pigeon Butte,35,0.4,6.5,60.5,67,0.75,23.75,3.25,30.25,4,0.65
Pigeon Butte,39,0.64,26.5,85,111.5,5.75,15.25,4.5,0,3.75,1.45
Pigeon Butte,42,0.54,9.5,75.75,85.25,6.25,8,5.5,2.75,14.25,1.65
Pigeon Butte,43,0.45,3.5,77.75,81.25,1,3.25,6.75,13.75,5.25,0.8
Pigeon Butte,44,0.41,35.75,44.75,80.5,7,40,1.75,0,7,1.8
Pigeon Butte,45,0.47,3.5,55.75,59.25,0.5,24.25,5.25,36.25,3.25,0.55
Pigeon Butte,46,0.15,28.5,46.75,75.25,1.25,58.75,3,9.25,5.5,2.75
