Site,trt unit,Side,Scarified,Grass,Forb,Moss,Litter,Bare,Disturbed,Vole,LD,luor2010,Leaves2010,luor2011,Leaves2011,sivi2010,sivi2011
Bellfountain,3,L,n,50,36.5,20,70,0,0,16.5,5.6,26,65,25,134,7,3
Bellfountain,6,R,n,74,5,28.5,65,0,21.5,10,4,46,116,7,20,12,5
Bellfountain,8,L,n,74,23.5,25,85,0,5,19,4.9,21,35,5,15,4,2
Bellfountain,10,L,n,62,9.5,9,89,2,0,16,4.2,44,109,14,59,15,2
Bellfountain,12,R,n,72.5,30,55,90,0,0,10.5,5.3,31,82,13,45,7,
Bellfountain,13,R,n,18.5,82.5,6,65,0,0,7,2.5,17,50,6,22,3,5
Bellfountain,15,L,n,4.5,53,20,10,5,29,3,0.4,16,45,2,6,1,2
Bellfountain,17,R,n,70.5,21,17.5,77.5,0,0,15,3.6,41,96,20,77,6,9
Bellfountain,18,L,n,26.5,46,10,35,0,11,4.5,2.5,21,43,5,11,10,
Bellfountain,20,R,n,6,80,4.5,7,6.5,7,5.5,1,59,126,18,61,6,4
Bellfountain,23,L,n,6,39,12.5,0.5,8,42.5,0,0,23,62,3,5,10,
Bellfountain,24,L,n,5.5,66.5,12.5,22.5,0,29.5,0,0.3,12,32,1,5,7,4
Bellfountain,26,L,n,89.5,9,9,92.5,6,0,0,5.4,21,45,4,11,11,11
Bellfountain,27,L,n,22.5,26,14.5,70,0,8.5,1.5,3,25,72,7,28,7,12
Bellfountain,33,R,n,38,22.5,10,91.5,0,7.5,3.5,9,36,86,19,64,12,5
Bellfountain,34,R,n,53,45,65,60,0,0,14.5,5.4,26,78,15,108,1,6
Bellfountain,35,R,n,3,91.5,16,8,2,1.5,4.5,1.6,49,137,30,193,5,8
Bellfountain,37,L,n,82.5,14.5,10,90.5,0,0,5,4.5,20,53,7,24,3,5
Bellfountain,40,L,n,59.5,23.5,10,72.5,2.5,11,7,5.8,19,42,10,48,4,7
