40,Plots,,,,,,,,,,,
12,Traits,,,,,,,,,,,
,C,C,Q,Q,Q,Q,Q,Q,Q,Q,Q,Q
,Site,trt unit,Grass,Forb,Moss,Litter,Bare,Disturbed,Vole,LD 1 ,LD 2 ,AvLD
BF1,1,3,60,30,0,95,0,5,8,11,23,17
BF2,1,6,40,40,5,50,0,20,10,2.5,0,1.25
BF3,1,8,82,7,0,95,0,0,6,5.5,6,5.75
BF4,1,10,40,23,40,45,5,0,4,3,4.5,3.75
BF5,1,12,44,25,24,90,0,10,9,5,6,5.5
BF6,1,13,68,30,20,90,5,0,0,7,5.5,6.25
BF7,1,15,65,7,40,30,0,30,6,0,2.5,1.25
BF8,1,17,75,10,30,90,0,0,9,5.5,5.5,5.5
BF9,1,18,55,12,0,60,8,7,8,4.5,3.5,4
BF10,1,20,13,60,6,14,0,22,8,2.5,4.5,3.5
BF11,1,23,44,30,10,70,4,0,5,5,4.5,4.75
BF12,1,24,23,70,15,30,0,0,0,5,2.5,3.75
BF13,1,26,68,6,8,40,0,25,13,1,5,3
BF14,1,27,85,3,15,90,0,0,10,7.5,3.5,5.5
BF15,1,33,12,18,15,60,0,0,11,9.5,5.5,7.5
BF16,1,34,30,22,75,63,0,0,7,4,2,3
BF17,1,35,90,10,5,98,0,0,10,15.5,20,17.75
BF18,1,37,85,23,45,70,0,0,8,5,6,5.5
BF19,1,40,67,5,20,80,0,23,6,14,0,7
BF20,1,44,25,65,60,60,0,0,2,4,8.5,6.25
FH1,2,2,5,12,98,4,0,2,0,0,3,1.5
FH2,2,6,63,32,15,15,0,0,0,1.5,6.5,4
FH3,2,9,1,70,65,5,0,0,0,2.5,1.5,2
FH4,2,11,55,40,13,70,0,0,0,4,5,4.5
FH5,2,16,18,26,1,10,25,0,0,3.5,2.58,3.04
FH6,2,20,3,88,5,1,10,2,0,0,1.5,0.75
FH7,2,21,20,37,21,7,15,6,0,1.5,2,1.75
FH8,2,25,45,30,5,50,3,0,12,7.5,4,5.75
FH9,2,30,25,40,0,15,15,5,0,3,4,3.5
FH10,2,32,15,40,0,20,30,5,5,0,3,1.5
FH11,2,33,15,35,5,12,5,0,2,3,3,3
FH12,2,37,52,20,0,80,3,0,5,2.5,3,2.8
FH13,2,38,4,80,3,20,7,2,9,5,3.54,4.27
FH14,2,39,12,70,9,5,0,0,0,1.5,1,1.25
FH15,2,40,40,60,0,30,3,5,0,4,2.5,3.25
FH16,2,42,30,20,5,10,35,20,0,0,3.5,1.75
FH17,2,43,25,50,0,20,10,3,10,3,4,3.5
FH18,2,44,7,20,80,40,0,0,0,2,2.5,2.25
FH19,2,49,70,25,0,60,2,5,0,3,2,2.5
FH20,2,50,40,55,80,10,5,2,6,3,2.5,2.75
,,,,,,,,,,,,
,,,,,,,,,,,,
