Site,trt unit,treatment,G2010,F2010,Veg2010,M2010,B2010,D2010,LD2010,G2011,F2011,Veg2011,M2011,L2011,B2011,D2011,Vole,LD2011,SIVI2010,SIVI2011,MaxRecruit,New2011,Observed.survival,Max.survival,Obs.max diff
Bellfountain,3,Control,58.5,31.5,90,4.25,0.25,0,2.7,57.75,29.25,87,18.75,75,0,1,14.5,6.2,9,6,12,3,0.33,0.5,0.17
Bellfountain,6,SM,34.25,44.5,78.75,15.75,0.25,6.25,1.35,79.75,6.5,86.25,21.75,75,1,17,10.5,4.65,25,9,27,2,0.28,0.33,0.05
Bellfountain,8,MBG,62.25,38,100.25,15.5,1.5,0.5,2.25,58,17.5,75.5,12.5,66.25,2.25,15.75,10.75,2.7,9,5,11,2,0.11,0.27,0.16
Bellfountain,10,MBG,40.25,51,91.25,5.75,4,2.25,1.35,64.25,11.25,75.5,5.75,86,1,0,17,4.2,28,13,36,8,0.18,0.36,0.18
Bellfountain,12,MM,44.25,54.25,98.5,7.25,1,0,3.95,70,26,96,38.75,82.5,0,0,6.25,4.1,17,19,29,12,0.41,0.66,0.24
Bellfountain,13,SM,26.5,64.5,91,16.75,0.75,0.25,0.85,18,70.5,88.5,8.5,52.5,1,5,6.75,3.05,15,13,20,5,0.53,0.65,0.12
Bellfountain,15,SBG,7.25,80.25,87.5,8,2,6.75,0.7,9.25,62.25,71.5,15.5,30,4.75,18.75,2.75,1.95,6,4,10,4,0,0.4,0.4
Bellfountain,17,Control,59,30.25,89.25,8.25,1.5,4,2.3,70.5,16.25,86.75,12.5,77.5,0,8.75,11.25,4.05,16,21,27,11,0.63,0.78,0.15
Bellfountain,18,SM,4.75,63.75,68.5,34.75,2,0.25,0.55,24,39.75,63.75,9.25,29,0.75,21.5,6.75,1.85,20,3,22,2,0.05,0.14,0.09
Bellfountain,20,SBG,3,72.75,75.75,16.75,2,9.5,0.55,11.75,68.25,80,6.75,7.25,6.75,9.25,10,1.15,25,13,29,4,0.36,0.45,0.09
Bellfountain,23,SBG,1,62.25,63.25,6.25,3,31.5,0.95,4.5,42.25,46.75,9.25,1.25,6.75,40.75,0,0,16,1,16,0,0.06,0.06,0
Bellfountain,24,SM,7.75,81,88.75,18.25,2.25,0,1.2,8.25,74,82.25,18,14.25,0,16.5,0.75,1.05,11,8,15,4,0.36,0.53,0.17
Bellfountain,26,MBG,49.5,25,74.5,14.5,0,8.75,0.8,90.5,10,100.5,7.5,94.5,3,0,1.25,5.6,21,21,32,11,0.48,0.66,0.18
Bellfountain,27,Control,47.5,49,96.5,4.5,0.25,0,2,30.5,27.75,58.25,16,73.75,0,11,6.25,4,12,20,27,15,0.42,0.74,0.32
Bellfountain,33,MM,52.5,32.75,85.25,27,0,0,5.05,36,29,65,15.25,79.5,0,11.5,2.75,6.25,21,18,32,11,0.33,0.56,0.23
Bellfountain,34,MM,67.75,29.25,97,7.75,0,0,3.35,55.5,37.5,93,65,65,0,0,13.25,4.7,8,10,13,5,0.63,0.77,0.14
Bellfountain,35,Control,9.5,85.25,94.75,5.25,0,0,2.45,2.25,88.25,90.5,12.75,4.75,1.75,5.75,4,1.25,9,15,20,11,0.44,0.75,0.31
Bellfountain,37,MBG,19,73.25,92.25,5.25,1.75,0,1.55,85,13.75,98.75,8.25,89,1,0,5,5.25,18,15,23,5,0.56,0.65,0.1
Bellfountain,40,MM,80.25,21,101.25,3.25,0,0,3.75,70,16.5,86.5,15,80,1.25,8,9,5.8,9,11,13,4,0.78,0.85,0.07
Bellfountain,44,SBG,1,92.5,93.5,13.25,0.75,0,0.8,7.5,56,63.5,61.25,5.75,4.75,2,1.5,1.1,9,10,14,5,0.56,0.71,0.16
Ft. Hoskins,2,MM,10.75,41.5,52.25,92.75,0.75,1,1.65,13.75,32.75,46.5,93.25,8.5,0.5,1.75,0,3.15,23,13,27,4,0.39,0.48,0.09
Ft. Hoskins,6,SM,31.25,57.25,88.5,9.75,3.75,0,1.65,30,27.75,57.75,1.75,21.75,8,3.5,0,5.3,10,14,16,6,0.8,0.88,0.08
Ft. Hoskins,9,MBG,42.75,47,89.75,3.5,0.75,0,3.4,15.75,53,68.75,6.5,33.25,5.5,1.75,0.75,2.95,18,22,29,11,0.56,0.72,0.17
Ft. Hoskins,11,Control,7,80.25,87.25,17.75,3,0.25,2.05,15.75,87.5,103.25,16.5,3.5,0,0,0,0.25,21,8,24,3,0.24,0.33,0.1
Ft. Hoskins,16,SBG,76.25,18.5,94.75,0,0.75,5,2.1,22.5,48.25,70.75,0,63.75,2.75,0.5,0.75,2.8,25,9,31,6,0.12,0.29,0.17
Ft. Hoskins,20,SM,2.25,86,88.25,23.5,4,1,1,9.25,87.5,96.75,7.75,4.5,8,5,0,1,23,16,29,6,0.43,0.55,0.12
Ft. Hoskins,21,MBG,25.25,65.75,91,2.75,3.25,0,1.75,18.75,57,75.75,3.25,11.75,15.25,6.5,1.25,1.65,9,12,20,11,0.11,0.6,0.49
Ft. Hoskins,25,MBG,21.75,43.25,65,2,19.75,12.5,1.5,40,40.5,80.5,1,36.5,8.5,0.75,1,2.7,14,13,25,11,0.07,0.48,0.41
Ft. Hoskins,30,SM,30.25,66,96.25,0,1.25,2.75,2.025,35,64,99,0,61.25,0.75,0.75,1.75,3.05,27,11,31,4,0.22,0.32,0.1
Ft. Hoskins,32,SBG,21.75,73.75,95.5,1.5,3,0,2.5,30.5,46.75,77.25,3.5,21.25,4.25,0,5,3.3,21,16,24,3,0.62,0.67,0.05
Ft. Hoskins,33,SBG,42.25,54.25,96.5,1,3.5,0.5,2.15,22,45.75,67.75,0.5,17.25,12.5,1.25,5.75,2.5,25,9,31,6,0.12,0.29,0.17
Ft. Hoskins,37,SM,42.5,52,94.5,24.75,0.75,2.75,2.95,16.75,63,79.75,18.25,28.75,1.25,0,3.5,4.3,9,9,13,4,0.56,0.69,0.14
Ft. Hoskins,38,Control,65,32.25,97.25,6.75,1.75,0.5,2.1,20.5,51.25,71.75,5,40,6,2.75,9,3.4,17,2,17,0,0.12,0.12,0
Ft. Hoskins,39,Control,17.5,75.25,92.75,11.25,0,0.75,1.5,16.5,78.75,95.25,3,22.5,3,0.75,0,2.3,19,5,19,0,0.26,0.26,0
Ft. Hoskins,40,MM,37.75,58,95.75,1.25,1.25,1.5,1.5,29.25,61.25,90.5,0,27.5,6.75,0,2,3.2,14,9,17,3,0.43,0.53,0.1
Ft. Hoskins,42,MM,9.75,79.25,89,29.5,0,0,1.9,73,19.5,92.5,14,53.25,4.5,2.5,1.75,3.65,23,11,27,4,0.3,0.41,0.1
Ft. Hoskins,43,MBG,58.75,46.25,105,0.5,2,0,4.6,43.75,50,93.75,0.5,52.5,1,0,0.75,4.35,11,7,14,3,0.27,0.43,0.16
Ft. Hoskins,44,MM,12.75,66.5,79.25,42,1,0,2.8,21,37.25,58.25,49.5,18,2.5,1.5,1,1.8,13,9,17,4,0.31,0.47,0.16
Ft. Hoskins,49,SBG,20.25,68,88.25,1,5.5,1,1.65,24,58.25,82.25,0.5,41.75,4.5,4.25,3.25,2.75,17,7,18,1,0.35,0.39,0.04
Ft. Hoskins,50,Control,15.5,69.25,84.75,1.5,2.25,7.25,1.95,59.25,30.5,89.75,1.5,43.75,7,2.5,3.5,4.55,15,4,16,1,0.2,0.25,0.05
Pigeon Butte,2,SBG,3,71,74,0,25,0,0.25,1.5,77.5,79,1.5,1.5,6.5,17.25,0,0.3,25,14,28,3,0.44,0.5,0.06
Pigeon Butte,3,SM,12.25,67,79.25,3.25,7.75,7,2.4,8.75,74.75,83.5,8.25,5,3,3.75,6.25,1.6,18,9,25,7,0.11,0.36,0.25
Pigeon Butte,5,Control,13.75,78.75,92.5,1,2.25,0,3.25,4.25,91,95.25,4.75,11.75,0,0,0.5,1.85,26,26,38,12,0.54,0.68,0.15
Pigeon Butte,6,MBG,2.5,74,76.5,0,4.5,16,0.5,2.5,67.5,70,1.75,0.5,4.75,17,5.25,0.5,17,11,22,5,0.35,0.5,0.15
Pigeon Butte,9,MM,43,52.25,95.25,0.75,3.25,0,3.1,36.25,33,69.25,9.25,57.5,2,7,2.75,3.2,27,24,39,12,0.44,0.62,0.17
Pigeon Butte,12,Control,0,,0,,,,,9,81.75,90.75,46.75,9.75,2.25,1.5,0,1.3,25,48,62,37,0.44,0.77,0.33
Pigeon Butte,17,MBG,24.5,46.75,71.25,0,0.5,26.5,1,1.5,70,71.5,0.75,3.75,5.25,21.5,7.75,0.55,12,18,26,14,0.33,0.69,0.36
Pigeon Butte,18,SM,9.75,73.5,83.25,0,1,20.25,1.2,4.25,82.75,87,3,7,5,11,0.75,1.05,22,18,28,6,0.55,0.64,0.1
Pigeon Butte,24,MM,10.25,76,86.25,0,9,0,0.8,6.25,90.5,96.75,0,8.25,2.75,0.25,3.25,1.5,24,13,26,2,0.46,0.5,0.04
Pigeon Butte,26,Control,52.5,32,84.5,0,1,5.75,3,22.5,68.25,90.75,2.25,47,1.25,4.25,,3.183333333,23,14,27,4,0.43,0.52,0.08
Pigeon Butte,27,SBG,5.75,53.75,59.5,0,0.5,40.75,0.55,4.25,72.25,76.5,1.25,7.5,4.75,18.5,5.5,1.05,12,9,15,3,0.5,0.6,0.1
Pigeon Butte,28,SM,7,76,83,3.75,3.75,10.75,0.85,3,83,86,6,9.5,7.5,8.25,5.25,1.15,8,7,14,6,0.13,0.5,0.38
