treatment,cold,scarified,germ,propgerm
n_0,0,n,1,0.02
n_0,0,n,2,0.04
n_0,0,n,2,0.04
n_0,0,n,1,0.02
n_2,2,n,8,0.16
n_2,2,n,8,0.16
n_2,2,n,8,0.16
n_2,2,n,9,0.18
n_4,4,n,8,0.16
n_4,4,n,6,0.12
n_4,4,n,4,0.08
n_4,4,n,12,0.24
n_6,6,n,10,0.2
n_6,6,n,6,0.12
n_6,6,n,7,0.14
n_6,6,n,6,0.12
n_8,8,n,8,0.16
n_8,8,n,13,0.26
n_8,8,n,13,0.26
n_8,8,n,8,0.16
n_10,10,n,16,0.32
n_10,10,n,10,0.2
n_10,10,n,20,0.4
n_10,10,n,16,0.32
n_12,12,n,22,0.44
n_12,12,n,14,0.28
n_12,12,n,21,0.42
n_12,12,n,14,0.28
y_0,0,y,6,0.12
y_0,0,y,4,0.08
y_0,0,y,6,0.12
y_0,0,y,4,0.08
y_2,2,y,10,0.2
y_2,2,y,19,0.38
y_2,2,y,18,0.36
y_2,2,y,16,0.32
y_4,4,y,30,0.6
y_4,4,y,21,0.42
y_4,4,y,30,0.6
y_4,4,y,28,0.56
y_6,6,y,22,0.44
y_6,6,y,27,0.54
y_6,6,y,31,0.62
y_6,6,y,25,0.5
y_8,8,y,32,0.64
y_8,8,y,23,0.46
y_8,8,y,26,0.52
y_8,8,y,24,0.48
y_10,10,y,19,0.38
y_10,10,y,25,0.5
y_10,10,y,27,0.54
y_10,10,y,22,0.44
y_12,12,y,20,0.4
y_12,12,y,11,0.22
y_12,12,y,17,0.34
y_12,12,y,29,0.58
