site,trtUnit,treatment,scarified,speciesID,plantID,leaves_2010,grazed_2010,notes_2010,leaves_2011,grazed_2011,notes_2011
Ft. Hoskins,20,SM,n,ERDE3,1,5,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,2,2,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,3,5,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,4,2,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,5,2,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,6,2,n,,,,
Ft. Hoskins,20,SM,n,ERDE3,7,3,n,,,,
Ft. Hoskins,30,SM,n,ERDE3,1,4,n,,,,
Ft. Hoskins,30,SM,n,ERDE3,2,4,n,,,,
Pigeon Butte,6,MBG,n,ERDE3,1,,,,4,n,
Pigeon Butte,6,MBG,n,ERDE3,2,,,,6,n,
Pigeon Butte,6,MBG,n,ERDE3,3,,,,4,n,
Pigeon Butte,17,MBG,n,ERDE3,1,4,n,,,,
Bellfountain,20,SBG,y,IRTE,1,,,,3,n,
Ft. Hoskins,33,SBG,n,IRTE,1,,,,3,n,
Ft. Hoskins,33,SBG,n,IRTE,2,,,,4,n,
Ft. Hoskins,33,SBG,n,IRTE,3,,,,3,n,
Ft. Hoskins,33,SBG,n,IRTE,4,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,5,,,,5,n,
Ft. Hoskins,33,SBG,y,IRTE,6,,,,2,y,
Ft. Hoskins,33,SBG,y,IRTE,7,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,8,,,,4,n,
Ft. Hoskins,33,SBG,y,IRTE,9,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,10,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,11,,,,5,n,
Ft. Hoskins,33,SBG,y,IRTE,12,,,,2,n,
Ft. Hoskins,33,SBG,y,IRTE,13,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,14,,,,3,n,
Ft. Hoskins,33,SBG,y,IRTE,15,,,,3,n,
Ft. Hoskins,42,MM,n,IRTE,6,,,,2,n,
Ft. Hoskins,42,MM,n,IRTE,7,,,,3,n,
Ft. Hoskins,42,MM,n,IRTE,8,,,,3,n,
Ft. Hoskins,42,MM,n,IRTE,9,,,,3,n,
Ft. Hoskins,42,MM,n,IRTE,10,,,,2,n,
Ft. Hoskins,42,MM,n,IRTE,11,,,,3,n,
Ft. Hoskins,43,MBG,y,IRTE,1,,,,3,n,
Ft. Hoskins,43,MBG,y,IRTE,2,,,,3,n,
Ft. Hoskins,43,MBG,y,IRTE,3,,,,2,n,
Ft. Hoskins,43,MBG,y,IRTE,4,,,,4,n,
Ft. Hoskins,43,MBG,y,IRTE,5,,,,3,n,
Ft. Hoskins,43,MBG,y,IRTE,6,,,,3,n,
Pigeon Butte,2,SBG,y,IRTE,1,,,,3,n,
Bellfountain,3,Control,n,LUOR,1,2,n,,8,n,
Bellfountain,3,Control,n,LUOR,2,3,n,,10,n,
Bellfountain,3,Control,n,LUOR,3,2,n,,3,n,
Bellfountain,3,Control,n,LUOR,4,2,n,,,,
Bellfountain,3,Control,n,LUOR,5,4,Y,,,,
Bellfountain,3,Control,n,LUOR,6,2,y,,6,n,
Bellfountain,3,Control,n,LUOR,7,3,y,,,,
Bellfountain,3,Control,n,LUOR,8,2,y,,,,
Bellfountain,3,Control,n,LUOR,9,2,n,,3,n,
Bellfountain,3,Control,n,LUOR,10,3,y,,,,
Bellfountain,3,Control,n,LUOR,11,3,n,,9,n,
Bellfountain,3,Control,n,LUOR,12,4,y,,8,n,
Bellfountain,3,Control,n,LUOR,13,2,n,,,,
Bellfountain,3,Control,n,LUOR,14,3,y,,3,n,
Bellfountain,3,Control,n,LUOR,15,2,n,,8,n,
Bellfountain,3,Control,n,LUOR,16,2,n,,,,
Bellfountain,3,Control,n,LUOR,17,3,y,,3,n,
Bellfountain,3,Control,n,LUOR,18,3,y,,4,n,
Bellfountain,3,Control,n,LUOR,19,3,n,,,,
Bellfountain,3,Control,n,LUOR,20,3,y,,,,
Bellfountain,3,Control,n,LUOR,21,2,n,,,,
Bellfountain,3,Control,n,LUOR,22,3,n,,4,n,
Bellfountain,3,Control,n,LUOR,23,3,y,,5,n,
Bellfountain,3,Control,Y,LUOR,24,3,n,,,,
Bellfountain,3,Control,n,LUOR,25,0,n,,,,
Bellfountain,3,Control,n,LUOR,26,0,n,,,,
Bellfountain,3,Control,n,LUOR,27,4,n,,3,n,
Bellfountain,3,Control,n,LUOR,28,,,,4,n,
Bellfountain,3,Control,n,LUOR,29,,,,10,n,
Bellfountain,3,Control,n,LUOR,30,,,,5,n,
Bellfountain,3,Control,n,LUOR,31,,,,3,n,
Bellfountain,3,Control,n,LUOR,32,,,,5,n,
Bellfountain,3,Control,n,LUOR,33,,,,5,n,
Bellfountain,3,Control,n,LUOR,34,,,,5,n,
Bellfountain,3,Control,n,LUOR,35,,,,5,n,
Bellfountain,3,Control,n,LUOR,36,,,,5,n,
Bellfountain,3,Control,n,LUOR,37,,,,5,n,
Bellfountain,3,Control,n,LUOR,38,,,,5,n,
Bellfountain,6,SM,n,LUOR,1,3,y,,,,
Bellfountain,6,SM,n,LUOR,2,3,y,,2,n,
Bellfountain,6,SM,n,LUOR,3,3,n,,,,
Bellfountain,6,SM,n,LUOR,4,2,n,,,,
Bellfountain,6,SM,n,LUOR,5,3,n,,,,
Bellfountain,6,SM,n,LUOR,6,3,y,,,,
Bellfountain,6,SM,n,LUOR,7,2,n,,,,
Bellfountain,6,SM,n,LUOR,8,3,y,,,,
Bellfountain,6,SM,n,LUOR,9,2,y,,,,
Bellfountain,6,SM,n,LUOR,10,5,n,,,,
Bellfountain,6,SM,n,LUOR,11,3,n,,,,
Bellfountain,6,SM,n,LUOR,12,2,n,,,,
Bellfountain,6,SM,n,LUOR,13,2,n,,,,
Bellfountain,6,SM,n,LUOR,14,2,n,,,,
Bellfountain,6,SM,n,LUOR,15,3,n,,,,
Bellfountain,6,SM,n,LUOR,16,3,y,,,,
Bellfountain,6,SM,n,LUOR,17,2,y,,3,n,
Bellfountain,6,SM,n,LUOR,18,3,y,,,,
Bellfountain,6,SM,n,LUOR,19,3,y,,,,
Bellfountain,6,SM,n,LUOR,20,3,y,,5,n,
Bellfountain,6,SM,n,LUOR,21,2,n,,,,
Bellfountain,6,SM,n,LUOR,22,2,n,,,,
Bellfountain,6,SM,n,LUOR,23,2,n,,,,
Bellfountain,6,SM,n,LUOR,24,3,n,,3,n,
Bellfountain,6,SM,n,LUOR,25,2,n,,,,
Bellfountain,6,SM,n,LUOR,26,3,n,,,,
Bellfountain,6,SM,n,LUOR,27,3,n,,,,
Bellfountain,6,SM,n,LUOR,28,2,y,,,,
Bellfountain,6,SM,n,LUOR,29,3,n,,2,n,
Bellfountain,6,SM,n,LUOR,30,2,n,,3,n,
Bellfountain,6,SM,n,LUOR,31,1,n,,,,
Bellfountain,6,SM,n,LUOR,32,2,y,,,,
Bellfountain,6,SM,n,LUOR,33,3,y,,,,
Bellfountain,6,SM,n,LUOR,34,2,y,,,,
Bellfountain,6,SM,n,LUOR,35,2,n,,,,
Bellfountain,6,SM,n,LUOR,36,3,y,,,,
Bellfountain,6,SM,n,LUOR,37,2,n,,,,
Bellfountain,6,SM,n,LUOR,38,2,n,,,,
Bellfountain,6,SM,n,LUOR,39,3,n,,,,
Bellfountain,6,SM,n,LUOR,40,2,y,,,,
Bellfountain,6,SM,n,LUOR,41,3,n,,2,n,
Bellfountain,6,SM,n,LUOR,42,2,n,,,,
Bellfountain,6,SM,n,LUOR,43,3,n,,,,
Bellfountain,6,SM,n,LUOR,44,2,n,,,,
Bellfountain,6,SM,n,LUOR,45,3,n,,,,
Bellfountain,6,SM,n,LUOR,46,2,y,,,,
Bellfountain,6,SM,y,LUOR,47,2,y,,,,
Bellfountain,6,SM,y,LUOR,48,4,y,,,,
Bellfountain,6,SM,y,LUOR,49,2,n,,7,n,
Bellfountain,6,SM,y,LUOR,50,2,y,,,,
Bellfountain,6,SM,y,LUOR,51,3,y,,,,
Bellfountain,6,SM,y,LUOR,52,3,y,,,,
Bellfountain,6,SM,y,LUOR,53,3,y,,,,
Bellfountain,6,SM,y,LUOR,54,2,y,,,,
Bellfountain,6,SM,y,LUOR,55,2,n,,,,
Bellfountain,6,SM,y,LUOR,56,3,y,,,,
Bellfountain,6,SM,y,LUOR,57,2,n,,4,n,
Bellfountain,6,SM,y,LUOR,58,2,y,,,,
Bellfountain,6,SM,y,LUOR,59,3,y,,,,
Bellfountain,6,SM,y,LUOR,60,2,y,,3,n,
Bellfountain,6,SM,y,LUOR,61,3,y,,,,
Bellfountain,6,SM,y,LUOR,62,3,y,,,,
Bellfountain,6,SM,y,LUOR,63,3,y,,1,n,
Bellfountain,6,SM,y,LUOR,64,2,y,,,,
Bellfountain,6,SM,y,LUOR,65,1,n,,,,
Bellfountain,8,MBG,n,LUOR,1,2,n,,,,
Bellfountain,8,MBG,n,LUOR,2,2,n,,,,
Bellfountain,8,MBG,n,LUOR,3,2,n,,3,n,
Bellfountain,8,MBG,n,LUOR,4,1,n,,,,
Bellfountain,8,MBG,n,LUOR,5,1,n,,,,
Bellfountain,8,MBG,n,LUOR,6,3,y,,,,
Bellfountain,8,MBG,n,LUOR,7,2,y,,3,n,
Bellfountain,8,MBG,n,LUOR,8,2,y,,,,
Bellfountain,8,MBG,n,LUOR,9,2,n,,3,n,
Bellfountain,8,MBG,n,LUOR,10,1,n,,3,n,
Bellfountain,8,MBG,n,LUOR,11,2,y,,,,
Bellfountain,8,MBG,n,LUOR,12,1,y,,,,
Bellfountain,8,MBG,n,LUOR,13,1,y,,,,
Bellfountain,8,MBG,n,LUOR,14,1,n,,,,
Bellfountain,8,MBG,n,LUOR,15,2,y,,,,
Bellfountain,8,MBG,n,LUOR,16,3,n,,,,
Bellfountain,8,MBG,n,LUOR,17,1,n,,,,
Bellfountain,8,MBG,y,LUOR,18,2,y,,,,
Bellfountain,8,MBG,n,LUOR,19,1,n,,,,
Bellfountain,8,MBG,y,LUOR,20,2,y,,,,
Bellfountain,8,MBG,y,LUOR,21,3,y,,,,
Bellfountain,8,MBG,y,LUOR,22,3,y,,,,
Bellfountain,8,MBG,y,LUOR,23,2,y,,,,
Bellfountain,8,MBG,y,LUOR,24,2,y,,,,
Bellfountain,8,MBG,y,LUOR,25,1,y,,,,
Bellfountain,8,MBG,y,LUOR,26,3,y,,,,
Bellfountain,8,MBG,y,LUOR,27,4,y,,,,
Bellfountain,8,MBG,n,LUOR,28,1,n,,3,n,
Bellfountain,8,MBG,y,LUOR,29,4,y,,,,
Bellfountain,8,MBG,y,LUOR,30,2,y,,,,
Bellfountain,8,MBG,y,LUOR,31,3,y,,,,
Bellfountain,8,MBG,y,LUOR,32,3,y,,,,
Bellfountain,8,MBG,y,LUOR,33,3,y,,,,
Bellfountain,8,MBG,y,LUOR,34,2,y,,,,
Bellfountain,8,MBG,y,LUOR,35,2,y,,,,
Bellfountain,8,MBG,y,LUOR,36,2,y,,,,
Bellfountain,8,MBG,y,LUOR,37,2,y,,,,
Bellfountain,8,MBG,y,LUOR,38,2,y,,,,
Bellfountain,8,MBG,y,LUOR,39,3,y,,,,
Bellfountain,8,MBG,y,LUOR,40,3,y,,,,
Bellfountain,8,MBG,y,LUOR,41,2,y,,,,
Bellfountain,8,MBG,y,LUOR,42,3,y,,5,n,
Bellfountain,8,MBG,y,LUOR,43,3,y,,,,
Bellfountain,8,MBG,n,LUOR,44,1,n,,,,
Bellfountain,8,MBG,n,LUOR,45,3,n,,,,
Bellfountain,8,MBG,y,LUOR,46,2,n,,,,
Bellfountain,8,MBG,y,LUOR,47,2,y,,,,
Bellfountain,8,MBG,y,LUOR,48,2,y,,,,
Bellfountain,8,MBG,y,LUOR,49,2,n,,,,
Bellfountain,8,MBG,y,LUOR,50,3,n,,,,
Bellfountain,8,MBG,y,LUOR,51,2,n,,8,n,
Bellfountain,8,MBG,y,LUOR,52,3,n,,5,n,
Bellfountain,8,MBG,y,LUOR,53,3,n,,,,
Bellfountain,8,MBG,y,LUOR,54,3,y,,,,
Bellfountain,8,MBG,y,LUOR,55,2,n,,,,
Bellfountain,8,MBG,y,LUOR,56,3,n,,,,
Bellfountain,8,MBG,y,LUOR,57,2,n,,,,
Bellfountain,8,MBG,y,LUOR,58,3,n,,6,n,
Bellfountain,8,MBG,y,LUOR,59,3,y,,10,n,
Bellfountain,8,MBG,y,LUOR,60,1,y,,6,n,
Bellfountain,8,MBG,y,LUOR,61,1,y,,,,
Bellfountain,8,MBG,y,LUOR,62,2,y,,,,
Bellfountain,8,MBG,y,LUOR,63,2,n,,,,
Bellfountain,8,MBG,y,LUOR,64,2,n,,,,
Bellfountain,8,MBG,y,LUOR,65,4,n,,,,
Bellfountain,8,MBG,y,LUOR,66,2,n,,,,
Bellfountain,8,MBG,y,LUOR,67,3,n,,,,
Bellfountain,8,MBG,y,LUOR,68,2,y,,,,
Bellfountain,10,MBG,n,LUOR,1,3,n,,4,n,
Bellfountain,10,MBG,n,LUOR,2,2,n,,5,n,
Bellfountain,10,MBG,n,LUOR,3,3,n,,,,
Bellfountain,10,MBG,n,LUOR,4,3,n,,,,
Bellfountain,10,MBG,n,LUOR,5,5,n,,,,
Bellfountain,10,MBG,n,LUOR,6,3,n,,4,n,
Bellfountain,10,MBG,n,LUOR,7,3,n,,,,
Bellfountain,10,MBG,n,LUOR,8,3,n,,,,
Bellfountain,10,MBG,n,LUOR,9,3,n,,,,
Bellfountain,10,MBG,n,LUOR,10,3,n,,4,n,
Bellfountain,10,MBG,n,LUOR,11,3,n,,,,
Bellfountain,10,MBG,n,LUOR,12,2,y,,,,
Bellfountain,10,MBG,n,LUOR,13,0,n,,,,
Bellfountain,10,MBG,n,LUOR,14,3,y,,,,
Bellfountain,10,MBG,n,LUOR,15,4,y,,5,n,
Bellfountain,10,MBG,n,LUOR,16,3,y,,7,n,
Bellfountain,10,MBG,n,LUOR,17,4,n,,3,n,
Bellfountain,10,MBG,n,LUOR,18,2,y,,,,
Bellfountain,10,MBG,n,LUOR,19,2,y,,,,
Bellfountain,10,MBG,n,LUOR,20,3,y,,,,
Bellfountain,10,MBG,n,LUOR,21,3,y,,,,
Bellfountain,10,MBG,n,LUOR,22,3,y,,,,
Bellfountain,10,MBG,n,LUOR,23,2,y,,,,
Bellfountain,10,MBG,n,LUOR,24,3,y,,4,n,
Bellfountain,10,MBG,n,LUOR,25,2,y,,4,n,
Bellfountain,10,MBG,n,LUOR,26,3,n,,,,
Bellfountain,10,MBG,n,LUOR,27,2,n,,,,
Bellfountain,10,MBG,n,LUOR,28,3,n,,6,n,
Bellfountain,10,MBG,n,LUOR,29,2,n,,,,
Bellfountain,10,MBG,n,LUOR,30,3,y,,,,
Bellfountain,10,MBG,n,LUOR,31,2,y,,,,
Bellfountain,10,MBG,n,LUOR,32,3,y,,,,
Bellfountain,10,MBG,y,LUOR,33,4,y,,,,
Bellfountain,10,MBG,y,LUOR,34,3,y,,,,
Bellfountain,10,MBG,y,LUOR,35,3,n,,,,
Bellfountain,10,MBG,y,LUOR,36,3,y,,,,
Bellfountain,10,MBG,y,LUOR,37,3,y,,,,
Bellfountain,10,MBG,y,LUOR,38,3,y,,,,
Bellfountain,10,MBG,y,LUOR,39,3,y,,3,n,
Bellfountain,10,MBG,y,LUOR,40,2,y,,,,
Bellfountain,10,MBG,y,LUOR,41,2,y,,,,
